tid,core,node,bw
0,0,0,807.43
1,4,0,807.429
2,8,0,564.062
3,12,0,564.061
4,16,0,794.061
5,20,0,794.062
6,24,0,548.16
7,28,0,548.16
8,32,0,612.782
9,36,0,612.782
10,40,0,598.51
11,44,0,598.511
12,48,0,800.58
13,52,0,800.58
14,56,0,545.343
15,60,0,545.343
0,0,1,568.91
1,4,1,568.91
2,8,1,846.359
3,12,1,846.359
4,16,1,580.379
5,20,1,580.379
6,24,1,779.183
7,28,1,779.183
8,32,1,525.753
9,36,1,525.753
10,40,1,513.666
11,44,1,513.666
12,48,1,571.865
13,52,1,571.865
14,56,1,652.76
15,60,1,652.759
0,0,2,634.151
1,4,2,634.151
2,8,2,660.973
3,12,2,660.973
4,16,2,961.197
5,20,2,961.197
6,24,2,669.02
7,28,2,669.019
8,32,2,678.784
9,36,2,678.784
10,40,2,806.015
11,44,2,806.016
12,48,2,713.16
13,52,2,713.16
14,56,2,713.161
15,60,2,713.161
0,0,3,479.645
1,4,3,479.645
2,8,3,656.352
3,12,3,656.352
4,16,3,515.85
5,20,3,515.85
6,24,3,851.92
7,28,3,851.92
8,32,3,658.32
9,36,3,658.32
10,40,3,880.617
11,44,3,880.617
12,48,3,483.734
13,52,3,483.734
14,56,3,482.165
15,60,3,482.165
0,0,4,571.045
1,4,4,571.045
2,8,4,620.654
3,12,4,620.654
4,16,4,631.429
5,20,4,631.429
6,24,4,623.535
7,28,4,623.534
8,32,4,877.652
9,36,4,877.652
10,40,4,598.266
11,44,4,598.266
12,48,4,703.884
13,52,4,703.884
14,56,4,588.221
15,60,4,588.221
0,0,5,456.179
1,4,5,456.18
2,8,5,457.182
3,12,5,457.182
4,16,5,825.79
5,20,5,825.79
6,24,5,611.629
7,28,5,611.629
8,32,5,488.065
9,36,5,488.065
10,40,5,824.047
11,44,5,824.098
12,48,5,483.833
13,52,5,483.833
14,56,5,613.118
15,60,5,613.118
0,0,6,671.857
1,4,6,671.857
2,8,6,573.503
3,12,6,573.729
4,16,6,620.819
5,20,6,620.819
6,24,6,611.352
7,28,6,611.352
8,32,6,807.925
9,36,6,807.925
10,40,6,576.815
11,44,6,576.519
12,48,6,902.019
13,52,6,902.019
14,56,6,582.508
15,60,6,582.508
0,0,7,530.769
1,4,7,530.769
2,8,7,653.54
3,12,7,653.54
4,16,7,637.443
5,20,7,637.444
6,24,7,626.08
7,28,7,626.08
8,32,7,537.266
9,36,7,537.266
10,40,7,654.575
11,44,7,654.575
12,48,7,542.374
13,52,7,542.374
14,56,7,869.142
15,60,7,869.143
