tid,core,node,bw
0,0,0,1073.83
1,1,0,1080.62
2,2,0,1080.62
3,3,0,1074.37
4,4,0,1080.63
5,5,0,1090.51
6,6,0,1081.61
7,7,0,1080.61
8,8,0,914.601
9,9,0,914.573
10,10,0,914.589
11,11,0,914.573
12,12,0,914.571
13,13,0,914.571
14,14,0,914.57
15,15,0,914.614
0,0,1,976.115
1,1,1,976.116
2,2,1,976.126
3,3,1,976.127
4,4,1,976.125
5,5,1,976.125
6,6,1,976.128
7,7,1,976.115
8,8,1,982.261
9,9,1,982.261
10,10,1,982.236
11,11,1,982.262
12,12,1,982.243
13,13,1,982.243
14,14,1,982.262
15,15,1,982.242
0,0,2,869.025
1,1,2,869.03
2,2,2,869.025
3,3,2,869.03
4,4,2,869.023
5,5,2,869.031
6,6,2,869.026
7,7,2,869.025
8,8,2,961.793
9,9,2,961.795
10,10,2,961.795
11,11,2,961.795
12,12,2,961.796
13,13,2,961.796
14,14,2,961.793
15,15,2,961.793
0,0,3,938.946
1,1,3,938.946
2,2,3,938.938
3,3,3,938.939
4,4,3,938.941
5,5,3,938.941
6,6,3,938.938
7,7,3,938.946
8,8,3,819.063
9,9,3,819.662
10,10,3,819.033
11,11,3,819.033
12,12,3,819.033
13,13,3,819.033
14,14,3,819.66
15,15,3,819.066
0,0,4,747.695
1,1,4,747.606
2,2,4,747.634
3,3,4,747.735
4,4,4,747.575
5,5,4,747.772
6,6,4,747.545
7,7,4,747.661
8,8,4,746.855
9,9,4,746.82
10,10,4,748.092
11,11,4,746.948
12,12,4,746.977
13,13,4,746.838
14,14,4,746.898
15,15,4,746.898
0,0,5,720.1
1,1,5,720.1
2,2,5,720.126
3,3,5,720.173
4,4,5,720.063
5,5,5,720.147
6,6,5,720.229
7,7,5,720.064
8,8,5,721.924
9,9,5,721.911
10,10,5,721.915
11,11,5,721.925
12,12,5,721.912
13,13,5,721.912
14,14,5,721.916
15,15,5,721.916
0,0,6,625.331
1,1,6,625.331
2,2,6,625.331
3,3,6,625.331
4,4,6,625.849
5,5,6,625.849
6,6,6,625.331
7,7,6,625.331
8,8,6,625.605
9,9,6,625.605
10,10,6,625.502
11,11,6,625.502
12,12,6,625.55
13,13,6,626.202
14,14,6,626.169
15,15,6,626.233
0,0,7,591.795
1,1,7,592.235
2,2,7,592.116
3,3,7,592.206
4,4,7,592.174
5,5,7,592.174
6,6,7,591.798
7,7,7,592.089
8,8,7,589.933
9,9,7,589.981
10,10,7,590.009
11,11,7,590.009
12,12,7,589.971
13,13,7,589.992
14,14,7,589.956
15,15,7,589.956
