tid,core,node,bw
39,39,5,467.538
40,40,5,848.357
41,41,5,848.558
42,42,5,848.329
43,43,5,848.435
44,44,5,848.405
45,45,5,848.471
46,46,5,848.518
47,47,5,848.595
0,0,6,525.893
1,1,6,525.894
2,2,6,525.892
3,3,6,525.892
4,4,6,525.893
5,5,6,525.893
6,6,6,525.893
7,7,6,525.892
8,8,6,380.779
9,9,6,380.78
10,10,6,380.779
11,11,6,380.785
12,12,6,380.786
13,13,6,380.779
14,14,6,380.782
15,15,6,380.782
16,16,6,372.96
17,17,6,372.959
18,18,6,372.917
19,19,6,372.938
20,20,6,372.93
21,21,6,372.982
22,22,6,372.922
23,23,6,372.971
24,24,6,309.075
25,25,6,309.071
26,26,6,309.063
27,27,6,309.063
28,28,6,309.049
29,29,6,309.073
30,30,6,309.057
31,31,6,309.056
32,32,6,406.043
33,33,6,406.045
34,34,6,406.044
35,35,6,406.045
36,36,6,406.043
37,37,6,406.044
38,38,6,406.045
39,39,6,406.046
40,40,6,392.872
41,41,6,392.871
42,42,6,392.872
43,43,6,392.872
44,44,6,392.87
45,45,6,392.87
46,46,6,392.871
47,47,6,392.871
0,0,7,464.446
1,1,7,464.447
2,2,7,464.275
3,3,7,464.275
4,4,7,464.375
5,5,7,464.375
6,6,7,464.329
7,7,7,464.328
8,8,7,352.789
9,9,7,352.792
10,10,7,352.789
11,11,7,352.789
12,12,7,352.79
13,13,7,352.792
14,14,7,352.791
15,15,7,352.792
16,16,7,404.77
17,17,7,404.77
18,18,7,404.776
19,19,7,404.776
20,20,7,404.771
21,21,7,404.772
22,22,7,404.807
23,23,7,404.806
24,24,7,311.428
25,25,7,311.438
26,26,7,311.443
27,27,7,311.423
28,28,7,311.418
29,29,7,311.447
30,30,7,311.453
31,31,7,311.433
32,32,7,331.978
33,33,7,331.978
34,34,7,331.978
35,35,7,331.978
36,36,7,331.977
37,37,7,331.978
38,38,7,331.978
39,39,7,331.978
40,40,7,359.167
41,41,7,359.167
42,42,7,359.166
43,43,7,359.168
44,44,7,359.166
45,45,7,359.167
46,46,7,359.166
47,47,7,359.167
