processor,node,bw
0-1,0,8451.65
0-1,1,9152.675
0-1,2,4106.724999999999
0-1,3,4109.0
0-1,4,5960.950000000001
0-1,5,3880.0
0-1,6,2426.325
0-1,7,2427.775
0-2,0,5856.1
0-2,1,3768.2250000000004
0-2,2,7627.4
0-2,3,4951.6
0-2,4,6022.325000000001
0-2,5,6027.025
0-2,6,4750.3
0-2,7,4213.95
0-3,0,4193.9
0-3,1,6078.924999999999
0-3,2,7304.950000000001
0-3,3,7377.375
0-3,4,5974.85
0-3,5,5288.25
0-3,6,3955.425
0-3,7,4084.6
0-4,0,6028.75
0-4,1,6080.75
0-4,2,6272.3
0-4,3,5810.225
0-4,4,5993.924999999999
0-4,5,4467.700000000001
0-4,6,5107.075000000001
0-4,7,3983.175
0-5,0,4110.525
0-5,1,4116.725
0-5,2,6417.925
0-5,3,6178.025000000001
0-5,4,5993.525000000001
0-5,5,6003.075
0-5,6,6153.525
0-5,7,3634.475
0-6,0,7809.45
0-6,1,3684.725
0-6,2,6147.4
0-6,3,5554.174999999999
0-6,4,4691.900000000001
0-6,5,4182.175
0-6,6,5969.825
0-6,7,3808.975
0-7,0,6803.799999999999
0-7,1,6139.25
0-7,2,8122.025
0-7,3,5610.25
0-7,4,3435.4500000000003
0-7,5,4949.9
0-7,6,6210.875
0-7,7,4209.949999999999
1-2,0,6036.625
1-2,1,4181.725
1-2,2,6712.25
1-2,3,7590.150000000001
1-2,4,6000.65
1-2,5,5934.1
1-2,6,3471.125
1-2,7,4687.424999999999
1-3,0,3841.575
1-3,1,6022.325000000001
1-3,2,4908.700000000001
1-3,3,6149.3
1-3,4,6043.275
1-3,5,5100.625
1-3,6,3103.025
1-3,7,3428.35
1-4,0,5976.200000000001
1-4,1,5552.225
1-4,2,5398.174999999999
1-4,3,6195.0
1-4,4,6040.65
1-4,5,4454.9
1-4,6,3680.725
1-4,7,3436.5499999999997
1-5,0,4135.975
1-5,1,4053.825
1-5,2,7607.175
1-5,3,5150.95
1-5,4,6014.975
1-5,5,5967.5
1-5,6,4235.224999999999
1-5,7,5977.625
1-6,0,7262.075
1-6,1,4234.0
1-6,2,5364.424999999999
1-6,3,5362.125
1-6,4,4702.125
1-6,5,4157.25
1-6,6,4257.55
1-6,7,6144.675000000001
1-7,0,4929.775
1-7,1,5595.225
1-7,2,6020.275000000001
1-7,3,6133.925000000001
1-7,4,3418.575
1-7,5,4693.325
1-7,6,3551.9999999999995
1-7,7,5598.549999999999
2-3,0,2389.9
2-3,1,2394.575
2-3,2,8408.175
2-3,3,9134.699999999999
2-3,4,6081.775
2-3,5,6942.049999999999
2-3,6,2400.375
2-3,7,2378.15
2-4,0,4476.9
2-4,1,3420.2
2-4,2,6196.3
2-4,3,6201.700000000001
2-4,4,6174.375
2-4,5,8579.3
2-4,6,6103.4
2-4,7,4159.2
2-5,0,3870.75
2-5,1,3128.4500000000003
2-5,2,7408.475
2-5,3,6232.9
2-5,4,6169.3
2-5,5,8398.65
2-5,6,5346.200000000001
2-5,7,4603.1
2-6,0,4900.325
2-6,1,3778.5750000000003
2-6,2,6042.625
2-6,3,4471.875
2-6,4,4699.875
2-6,5,4128.825
2-6,6,6099.9
2-6,7,6115.85
2-7,0,6011.475
2-7,1,3424.0
2-7,2,7762.700000000001
2-7,3,4847.15
2-7,4,3442.7749999999996
2-7,5,5947.725
2-7,6,6071.05
2-7,7,6029.275
3-4,0,3414.775
3-4,1,4663.975
3-4,2,6157.450000000001
3-4,3,5601.275000000001
3-4,4,6049.575
3-4,5,7613.1
3-4,6,4089.3250000000003
3-4,7,4054.95
3-5,0,3062.5249999999996
3-5,1,4056.575
3-5,2,8569.800000000001
3-5,3,6206.625
3-5,4,6084.999999999999
3-5,5,7112.025
3-5,6,4134.700000000001
3-5,7,3399.1
3-6,0,3627.775
3-6,1,4214.7
3-6,2,6036.95
3-6,3,6056.224999999999
3-6,4,4713.075
3-6,5,3756.5
3-6,6,4087.0249999999996
3-6,7,4140.95
3-7,0,4019.325
3-7,1,4664.65
3-7,2,7262.549999999999
3-7,3,7282.1
3-7,4,3447.8750000000005
3-7,5,6053.400000000001
3-7,6,4090.175
3-7,7,4116.900000000001
4-5,0,2356.3500000000004
4-5,1,2386.175
4-5,2,5665.725
4-5,3,4786.174999999999
4-5,4,8405.125
4-5,5,9160.95
4-5,6,4136.0
4-5,7,2403.8
4-6,0,6035.225
4-6,1,3640.7999999999997
4-6,2,6074.75
4-6,3,4992.924999999999
4-6,4,5843.6
4-6,5,3728.35
4-6,6,7800.0
4-6,7,3668.2000000000003
4-7,0,5378.425
4-7,1,5999.974999999999
4-7,2,6285.475
4-7,3,5617.6
4-7,4,4234.675
4-7,5,6039.224999999999
4-7,6,7262.7
4-7,7,4153.0
5-6,0,4116.95
5-6,1,3288.1499999999996
5-6,2,5602.975
5-6,3,5994.15
5-6,4,6105.025
5-6,5,4194.0
5-6,6,5878.900000000001
5-6,7,6033.8
5-7,0,4073.725
5-7,1,4088.325
5-7,2,6417.875
5-7,3,6217.299999999999
5-7,4,3559.175
5-7,5,5530.924999999999
5-7,6,4917.475
5-7,7,5527.375
6-7,0,4141.4
6-7,1,2438.85
6-7,2,6078.675
6-7,3,3952.6000000000004
6-7,4,2400.925
6-7,5,2388.7749999999996
6-7,6,8475.725
6-7,7,9170.3
