socket,node,bw
0-1,1,10595.05
0-1,2,7933.25
0-1,3,7899.400000000001
0-1,4,11089.850000000002
0-1,5,7423.65
0-1,6,4730.5
0-1,7,4718.475
0-2,1,7828.425
0-2,2,8580.275
0-2,3,9062.975000000002
0-2,4,10873.4
0-2,5,11357.125000000002
0-2,6,10265.05
0-2,7,8335.45
0-3,1,8153.724999999999
0-3,2,7194.725
0-3,3,7380.3
0-3,4,8286.550000000001
0-3,5,8324.800000000001
0-3,6,7609.175
0-3,7,6876.650000000001
0-4,1,11158.7
0-4,2,10718.724999999999
0-4,3,11250.350000000002
0-4,4,8571.025
0-4,5,7555.6
0-4,6,10556.15
0-4,7,7537.625
0-5,1,7633.825000000001
0-5,2,8196.425
0-5,3,8203.875
0-5,4,7038.674999999999
0-5,5,6867.5
0-5,6,8123.75
0-5,7,7411.15
0-6,1,7403.55
0-6,2,11864.025000000001
0-6,3,10303.150000000001
0-6,4,10908.525000000001
0-6,5,7908.225
0-6,6,8605.15
0-6,7,8102.924999999999
0-7,1,8241.5
0-7,2,12978.325
0-7,3,10324.425
0-7,4,8077.95
0-7,5,10554.9
0-7,6,9731.7
0-7,7,7241.225
1-2,1,8175.700000000001
1-2,2,9242.0
1-2,3,12009.675
1-2,4,11200.85
1-2,5,11268.1
1-2,6,8095.95
1-2,7,11278.199999999999
1-3,1,7855.625
1-3,2,7988.849999999999
1-3,3,8137.175
1-3,4,8331.225
1-3,5,8363.525000000001
1-3,6,6999.950000000001
1-3,7,7680.225
1-4,1,11337.75
1-4,2,11257.9
1-4,3,11532.0
1-4,4,11763.025000000001
1-4,5,8660.275
1-4,6,8161.799999999999
1-4,7,8184.125
1-5,1,7593.700000000001
1-5,2,8215.325
1-5,3,8260.425
1-5,4,8115.599999999999
1-5,5,7864.4
1-5,6,7663.5
1-5,7,8137.55
1-6,1,7775.3
1-6,2,11409.975
1-6,3,11371.1
1-6,4,11185.675000000001
1-6,5,8111.625
1-6,6,6963.675
1-6,7,12219.5
1-7,1,7522.85
1-7,2,10983.425
1-7,3,10336.325
1-7,4,8202.625
1-7,5,10713.625
1-7,6,7938.625
1-7,7,8992.775
2-3,1,4488.700000000001
2-3,2,4706.074999999999
2-3,3,4544.1
2-3,4,4680.674999999999
2-3,5,4713.525
2-3,6,4512.675
2-3,7,4504.275
2-4,1,8105.875
2-4,2,9462.2
2-4,3,10604.724999999999
2-4,4,11233.15
2-4,5,11270.875
2-4,6,11274.65
2-4,7,7985.6
2-5,1,7174.825
2-5,2,7552.700000000001
2-5,3,8066.775
2-5,4,8003.475
2-5,5,7966.35
2-5,6,8037.925
2-5,7,8161.025
2-6,1,7531.775
2-6,2,9745.050000000001
2-6,3,8743.075
2-6,4,11268.525
2-6,5,8208.175
2-6,6,11505.5
2-6,7,11483.625
2-7,1,7640.05
2-7,2,10950.625
2-7,3,9080.974999999999
2-7,4,8150.75
2-7,5,10941.900000000001
2-7,6,11200.699999999999
2-7,7,11407.825
3-4,1,8115.700000000001
3-4,2,8174.175
3-4,3,7440.424999999999
3-4,4,8311.875
3-4,5,8252.775
3-4,6,7663.475
3-4,7,7228.725
3-5,1,7229.325
3-5,2,6930.575
3-5,3,6181.825
3-5,4,6454.799999999999
3-5,5,7076.525000000001
3-5,6,7595.95
3-5,7,7469.550000000001
3-6,1,7575.025
3-6,2,7927.4
3-6,3,7180.45
3-6,4,8252.45
3-6,5,7873.924999999999
3-6,6,7898.45
3-6,7,7919.0
3-7,1,7883.175000000001
3-7,2,8148.95
3-7,3,7392.15
3-7,4,7823.074999999999
3-7,5,8148.25
3-7,6,7938.225
3-7,7,7895.075
4-5,1,4506.325
4-5,2,4709.200000000001
4-5,3,4762.075
4-5,4,4683.35
4-5,5,4584.325
4-5,6,4747.6
4-5,7,4524.725
4-6,1,7580.0
4-6,2,11425.05
4-6,3,10860.675
4-6,4,10939.8
4-6,5,8334.65
4-6,6,11864.575
4-6,7,8102.6
4-7,1,8468.275
4-7,2,11451.575
4-7,3,11219.825
4-7,4,8266.35
4-7,5,11245.125
4-7,6,11368.775
4-7,7,8180.475
5-6,1,7448.1
5-6,2,8127.15
5-6,3,8118.575
5-6,4,7772.400000000001
5-6,5,7352.124999999999
5-6,6,8090.25
5-6,7,7697.424999999999
5-7,1,7306.975
5-7,2,8183.049999999999
5-7,3,8236.4
5-7,4,7305.875
5-7,5,7952.575
5-7,6,8019.725
5-7,7,8090.25
6-7,1,4669.8
6-7,2,8095.5
6-7,3,7509.375
6-7,4,4771.724999999999
6-7,5,4651.849999999999
6-7,6,7906.575
6-7,7,8036.15
