processor,node,bw
0-1,0,8516.925
0-1,1,9181.525
0-1,2,4115.25
0-1,3,4111.325
0-1,4,5939.324999999999
0-1,5,3879.225
0-1,6,2411.0
0-1,7,2426.825
0-2,0,5868.8
0-2,1,3764.45
0-2,2,7665.724999999999
0-2,3,4939.65
0-2,4,5980.9
0-2,5,5955.599999999999
0-2,6,4753.1
0-2,7,4190.95
0-3,0,4169.05
0-3,1,6052.825000000001
0-3,2,7304.275
0-3,3,6364.275
0-3,4,5998.175
0-3,5,5313.625
0-3,6,3991.0
0-3,7,4093.7999999999997
0-4,0,6036.325
0-4,1,6078.65
0-4,2,6262.25
0-4,3,5818.075000000001
0-4,4,6005.525
0-4,5,4444.375
0-4,6,5124.95
0-4,7,3950.575
0-5,0,4078.125
0-5,1,4116.6
0-5,2,6427.125
0-5,3,6168.9
0-5,4,6039.4
0-5,5,6008.05
0-5,6,6175.2
0-5,7,3630.85
0-6,0,7833.4
0-6,1,3704.7749999999996
0-6,2,6156.249999999999
0-6,3,5573.6
0-6,4,4688.575000000001
0-6,5,4153.3
0-6,6,5931.225
0-6,7,3792.225
0-7,0,7575.825
0-7,1,6140.225
0-7,2,8113.075
0-7,3,5604.150000000001
0-7,4,3452.2249999999995
0-7,5,4942.549999999999
0-7,6,6201.1
0-7,7,4201.650000000001
1-2,0,6042.325000000001
1-2,1,4143.3
1-2,2,6708.8
1-2,3,7590.575000000001
1-2,4,6022.075
1-2,5,5991.5
1-2,6,3496.5249999999996
1-2,7,4705.85
1-3,0,3810.725
1-3,1,6028.075
1-3,2,4897.925
1-3,3,7063.525
1-3,4,6005.674999999999
1-3,5,5065.65
1-3,6,3125.275
1-3,7,3394.375
1-4,0,6024.074999999999
1-4,1,5553.125
1-4,2,5390.55
1-4,3,6156.275000000001
1-4,4,5985.575
1-4,5,4469.475
1-4,6,3717.9
1-4,7,3408.525
1-5,0,4050.9500000000003
1-5,1,4028.1000000000004
1-5,2,7556.225
1-5,3,5143.5
1-5,4,5976.5
1-5,5,5962.3
1-5,6,4233.875
1-5,7,5976.175
1-6,0,7306.675000000001
1-6,1,4231.275
1-6,2,5407.4
1-6,3,5354.575000000001
1-6,4,4662.15
1-6,5,4164.924999999999
1-6,6,4824.775
1-6,7,6135.099999999999
1-7,0,4917.375
1-7,1,5591.2
1-7,2,5998.049999999999
1-7,3,6096.699999999999
1-7,4,3463.975
1-7,5,4669.025000000001
1-7,6,3550.7750000000005
1-7,7,5593.55
2-3,0,2380.0999999999995
2-3,1,2382.7250000000004
2-3,2,8410.675
2-3,3,9145.625
2-3,4,6077.775000000001
2-3,5,6954.225
2-3,6,2401.075
2-3,7,2384.475
2-4,0,4485.825
2-4,1,3435.875
2-4,2,6193.700000000001
2-4,3,6146.150000000001
2-4,4,6186.450000000001
2-4,5,8512.899999999998
2-4,6,6148.224999999999
2-4,7,4131.825
2-5,0,3854.95
2-5,1,3079.25
2-5,2,7424.825
2-5,3,6209.0
2-5,4,6145.799999999999
2-5,5,8404.2
2-5,6,5374.225
2-5,7,4644.525
2-6,0,4878.875
2-6,1,3779.1499999999996
2-6,2,6052.025
2-6,3,4477.174999999999
2-6,4,4727.475
2-6,5,4135.799999999999
2-6,6,6098.2
2-6,7,6108.475
2-7,0,6030.675
2-7,1,3446.75
2-7,2,7788.525
2-7,3,4807.5
2-7,4,3440.9749999999995
2-7,5,5946.725
2-7,6,6077.775
2-7,7,6080.175
3-4,0,3408.15
3-4,1,4616.475
3-4,2,6137.725
3-4,3,5600.049999999999
3-4,4,6058.35
3-4,5,7610.275000000001
3-4,6,4134.025
3-4,7,4065.0249999999996
3-5,0,3067.425
3-5,1,4022.6000000000004
3-5,2,8549.575
3-5,3,6198.35
3-5,4,6099.625
3-5,5,7105.475
3-5,6,4106.375
3-5,7,3405.05
3-6,0,3636.8
3-6,1,4199.325000000001
3-6,2,6085.450000000001
3-6,3,6056.525
3-6,4,4724.025
3-6,5,3770.375
3-6,6,4137.200000000001
3-6,7,4115.175
3-7,0,3996.4750000000004
3-7,1,4632.875
3-7,2,7255.725
3-7,3,7249.825
3-7,4,3459.725
3-7,5,5994.700000000001
3-7,6,4140.325
3-7,7,4085.9
4-5,0,2372.1
4-5,1,2375.3250000000003
4-5,2,5688.275
4-5,3,4782.1
4-5,4,8419.125
4-5,5,9116.925000000001
4-5,6,4125.4
4-5,7,2403.55
4-6,0,6099.2
4-6,1,3616.3
4-6,2,6048.075000000001
4-6,3,5049.5
4-6,4,5865.85
4-6,5,3727.15
4-6,6,7809.0
4-6,7,4090.15
4-7,0,5388.4
4-7,1,6001.525
4-7,2,6246.125
4-7,3,5628.8
4-7,4,4231.675
4-7,5,6035.575
4-7,6,7278.2
4-7,7,4116.575
5-6,0,4106.799999999999
5-6,1,3266.5
5-6,2,5646.7
5-6,3,5986.625
5-6,4,6069.225
5-6,5,4152.025
5-6,6,6781.025
5-6,7,5979.625
5-7,0,4102.025
5-7,1,4086.05
5-7,2,6420.875
5-7,3,6256.4
5-7,4,3553.575
5-7,5,5487.0
5-7,6,5186.675
5-7,7,5494.35
6-7,0,4171.25
6-7,1,2427.15
6-7,2,6132.9
6-7,3,3943.725
6-7,4,2398.875
6-7,5,2402.075
6-7,6,8488.875
6-7,7,9182.5
