socket,node,bw
0-1,1,10343.55
0-1,2,7707.75
0-1,3,7004.700000000001
0-1,4,10228.5
0-1,5,6872.825
0-1,6,4635.525
0-1,7,4573.549999999999
0-2,1,7697.775
0-2,2,8032.4
0-2,3,8639.475
0-2,4,10661.975
0-2,5,11294.899999999998
0-2,6,10143.275000000001
0-2,7,7612.8
0-3,1,8135.675000000001
0-3,2,6563.125
0-3,3,6732.35
0-3,4,8245.75
0-3,5,8243.475
0-3,6,7649.525
0-3,7,6694.299999999999
0-4,1,11668.3
0-4,2,11620.074999999999
0-4,3,11216.45
0-4,4,8034.15
0-4,5,6924.674999999999
0-4,6,10527.925
0-4,7,6556.475
0-5,1,7783.25
0-5,2,8156.575
0-5,3,8072.675
0-5,4,6405.825000000001
0-5,5,6507.4
0-5,6,8070.325
0-5,7,7228.224999999999
0-6,1,6855.825
0-6,2,12011.150000000001
0-6,3,10247.875
0-6,4,10514.075
0-6,5,7804.8
0-6,6,8211.6
0-6,7,7638.150000000001
0-7,1,8263.599999999999
0-7,2,13108.625
0-7,3,10315.5
0-7,4,7783.7
0-7,5,10206.849999999999
0-7,6,7995.950000000001
0-7,7,6895.575
1-2,1,8193.125
1-2,2,8915.675
1-2,3,12038.3
1-2,4,11209.075
1-2,5,11241.875
1-2,6,7342.924999999999
1-2,7,11369.024999999998
1-3,1,7690.525000000001
1-3,2,7599.25
1-3,3,7568.674999999999
1-3,4,8276.675
1-3,5,8190.950000000001
1-3,6,6709.675
1-3,7,7816.225
1-4,1,10817.525
1-4,2,11406.25
1-4,3,11789.625000000002
1-4,4,11694.5
1-4,5,8450.3
1-4,6,7714.1
1-4,7,7161.299999999999
1-5,1,7828.05
1-5,2,7987.525
1-5,3,8066.375
1-5,4,7687.95
1-5,5,7314.725
1-5,6,7615.85
1-5,7,8095.575
1-6,1,7768.150000000001
1-6,2,11403.625
1-6,3,11499.375
1-6,4,11049.925000000001
1-6,5,8003.675
1-6,6,6619.875
1-6,7,12241.775
1-7,1,7511.65
1-7,2,10968.0
1-7,3,10337.175
1-7,4,8136.474999999999
1-7,5,10900.6
1-7,6,7542.849999999999
1-7,7,8527.55
2-3,1,4046.95
2-3,2,4604.975
2-3,3,4595.200000000001
2-3,4,4408.775
2-3,5,4562.375
2-3,6,4387.9
2-3,7,4252.849999999999
2-4,1,7946.325000000001
2-4,2,9197.300000000001
2-4,3,10641.95
2-4,4,10245.425
2-4,5,10752.425
2-4,6,11452.8
2-4,7,7222.125
2-5,1,7159.075
2-5,2,7263.9
2-5,3,7180.275
2-5,4,7335.950000000001
2-5,5,7263.474999999999
2-5,6,7912.1
2-5,7,7437.475
2-6,1,7480.3
2-6,2,9488.025
2-6,3,8530.9
2-6,4,11430.45
2-6,5,8222.550000000001
2-6,6,11638.6
2-6,7,11596.175
2-7,1,7625.575
2-7,2,10867.925
2-7,3,9073.8
2-7,4,8091.15
2-7,5,11122.45
2-7,6,11286.775
2-7,7,11439.6
3-4,1,8057.5
3-4,2,7622.025
3-4,3,6392.775
3-4,4,7465.4
3-4,5,7594.700000000001
3-4,6,7810.95
3-4,7,7101.775
3-5,1,7063.775
3-5,2,6416.325000000001
3-5,3,5932.650000000001
3-5,4,6733.325000000001
3-5,5,6370.15
3-5,6,7660.35
3-5,7,7130.349999999999
3-6,1,7464.3
3-6,2,7530.45
3-6,3,6831.275
3-6,4,7994.025
3-6,5,7604.325000000001
3-6,6,8022.525
3-6,7,8026.049999999999
3-7,1,7939.675
3-7,2,7620.525
3-7,3,7306.824999999999
3-7,4,7812.1
3-7,5,8115.325000000001
3-7,6,7990.825000000001
3-7,7,8005.925
4-5,1,3568.775
4-5,2,4603.55
4-5,3,4429.525
4-5,4,4532.875
4-5,5,4529.85
4-5,6,4397.775
4-5,7,4229.875
4-6,1,7985.575000000001
4-6,2,11530.050000000001
4-6,3,11063.175000000001
4-6,4,10991.075
4-6,5,8261.975
4-6,6,11472.625
4-6,7,7737.424999999999
4-7,1,8217.225
4-7,2,11616.5
4-7,3,11294.175
4-7,4,8232.35
4-7,5,11474.75
4-7,6,11365.875
4-7,7,8176.950000000001
5-6,1,7448.075
5-6,2,8084.25
5-6,3,7704.925000000001
5-6,4,7662.875
5-6,5,6991.674999999999
5-6,6,8052.349999999999
5-6,7,7907.25
5-7,1,6000.625
5-7,2,8190.7
5-7,3,6964.275
5-7,4,7104.875
5-7,5,7709.425
5-7,6,8079.175
5-7,7,7719.300000000001
6-7,1,4180.1
6-7,2,7842.099999999999
6-7,3,7243.375000000001
6-7,4,4546.075000000001
6-7,5,4307.55
6-7,6,7802.700000000001
6-7,7,7637.924999999999
