Sockets\Mem_Nodes,0,1,2,3
0-1,7359.125,8568.15,4970.675,4993.125
0-2,6146.125,5642.325,7295.75,5628.85
0-3,7194.15,4656.625,4673.825,10140.45
1-2,4775.225,7508.575,8760.95,4803.225
1-3,5748.0,6055.25,5655.125,6160.375
2-3,4978.125,4957.25,6086.875,7139.625
