Sockets\Mem_Nodes,0,1,2,3
0-1,6221.075,7284.25,4966.45,4991.725
0-2,7184.975,5644.25,5128.375,5630.175
0-3,6203.05,4654.175,4672.125,8657.825
1-2,4775.775,6346.95,10261.875,4804.85
1-3,5605.075,7146.075,5661.475,8707.9
2-3,4974.175,4959.3,6082.975,6269.075
