processor,node,bw
0-1,0,6221.075000000001
0-1,1,7284.25
0-1,2,4966.45
0-1,3,4991.725
0-2,0,7184.975
0-2,1,5644.25
0-2,2,5128.375
0-2,3,5630.175
0-3,0,6203.049999999999
0-3,1,4654.175
0-3,2,4672.125
0-3,3,8657.825
1-2,0,4775.775
1-2,1,6346.949999999999
1-2,2,10261.875
1-2,3,4804.85
1-3,0,5605.074999999999
1-3,1,7146.075
1-3,2,5661.474999999999
1-3,3,8707.9
2-3,0,4974.174999999999
2-3,1,4959.3
2-3,2,6082.975
2-3,3,6269.075
