Sockets\Mem_Nodes,0,1,2,3
0-1,6806.575000000001,7054.95,5177.325,4676.9
0-2,5727.95,5262.275,5722.599999999999,5333.025
0-3,6791.200000000001,4395.9,4708.8,7168.425
1-2,4514.325,6897.475,7222.725,4707.425
1-3,5285.05,5716.325000000001,5229.75,5968.825
2-3,5179.325,4980.700000000001,6782.9,7251.075
