Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1-2-3,7615.93333333,8265.3,8321.63333333,9130.7,9438.06666667,5240.46666667,6525.7
0-1-2-4,11254.3,11781.7,14879.1666667,15077.1333333,11075.4333333,8010.13333333,7933.63333333
0-1-2-5,11074.4333333,12043.7333333,14668.2333333,12100.2333333,12048.0,9084.46666667,8899.73333333
0-1-2-6,9863.16666667,11639.6666667,13359.2666667,16085.4333333,12051.4666667,8558.33333333,9588.06666667
0-1-2-7,10148.7666667,11737.5333333,12507.9666667,12656.9,13879.0333333,9228.5,8597.06666667
0-1-3-4,11315.3333333,12732.3666667,11652.3666667,12229.1,11307.4333333,7700.03333333,7896.73333333
0-1-3-5,10866.3666667,11430.5333333,12295.5666667,9855.13333333,10621.8666667,8840.53333333,8699.06666667
0-1-3-6,10802.5666667,12805.9666667,12339.3333333,14808.9333333,12655.1,8380.6,9357.96666667
0-1-3-7,9553.3,12007.7333333,10782.1666667,12190.8333333,13866.1333333,9265.03333333,8446.13333333
0-1-4-5,8192.93333333,9444.46666667,8952.33333333,8258.66666667,8022.1,8342.33333333,7488.26666667
0-1-4-6,11215.5666667,13428.6,15013.7333333,15431.7,10154.4666667,8552.5,8604.1
0-1-4-7,10991.1666667,13543.1,14351.0666667,12920.3333333,11287.8333333,9362.33333333,7634.83333333
0-1-5-6,10663.7333333,14017.0333333,14005.5666667,12636.9333333,11070.5,7993.33333333,9609.03333333
0-1-5-7,10310.3,12919.4,12434.5,9525.06666667,11002.6,8760.93333333,7875.46666667
0-1-6-7,8394.93333333,12597.2666667,12384.5333333,8578.7,7841.26666667,8436.16666667,8559.56666667
0-2-3-4,8984.26666667,8360.56666667,8297.06666667,9342.6,9246.26666667,8943.43333333,9094.73333333
0-2-3-5,8858.96666667,8205.4,8238.1,8960.53333333,8914.63333333,9224.63333333,8812.16666667
0-2-3-6,7867.43333333,8411.83333333,8233.4,9351.83333333,9227.7,7996.8,8619.73333333
0-2-3-7,8352.3,7844.7,7705.36666667,7967.46666667,8525.13333333,9162.93333333,8307.83333333
0-2-4-5,8534.7,8650.93333333,8451.63333333,8206.6,8269.13333333,9231.43333333,9142.3
0-2-4-6,12031.8,13798.5666667,13114.7,15591.6333333,12597.1333333,14165.7666667,11218.1666667
0-2-4-7,13385.9666667,16123.2333333,14115.2333333,14300.2,13808.4333333,16054.1,10975.6
0-2-5-6,10516.0333333,13131.1,12902.3333333,12572.0333333,12378.7,14411.2333333,14475.9333333
0-2-5-7,12003.1,14120.3333333,13300.1,10647.6333333,12595.0666667,13252.5333333,10957.3333333
0-2-6-7,9355.66666667,15096.4666667,10556.0666667,8387.6,9115.16666667,12426.9666667,12591.8333333
0-3-4-5,8631.73333333,7774.86666667,7483.7,8065.5,8056.3,8875.66666667,8882.56666667
0-3-4-6,11628.6333333,11550.0333333,11494.2666667,13701.3333333,12240.8,12911.7,9684.76666667
0-3-4-7,12048.5666667,12376.8333333,11812.0333333,12886.3333333,14182.3,14164.2666667,10802.5333333
0-3-5-6,10846.0,10993.2,10843.6666667,11757.0333333,11525.2,12695.2,11828.2666667
0-3-5-7,10852.7333333,11057.5666667,10701.4333333,9592.33333333,10255.2666667,13227.0666667,10523.9
0-3-6-7,9241.66666667,12125.6666667,10644.8333333,7958.03333333,9135.8,11516.1666667,12222.4333333
0-4-5-6,8515.5,9332.23333333,9353.93333333,8362.6,8112.2,9405.6,9279.5
0-4-5-7,8459.23333333,9469.33333333,8973.26666667,7256.7,8256.23333333,8846.06666667,8595.0
0-4-6-7,9458.83333333,15063.3,13540.5,9450.26666667,9035.9,11918.2,10357.5
0-5-6-7,9305.53333333,13800.4666667,13201.8666667,9077.13333333,9372.06666667,10870.6666667,11356.9666667
1-2-3-4,8274.66666667,8996.13333333,9204.16666667,9226.1,9039.56666667,7883.23333333,8804.26666667
1-2-3-5,8057.83333333,8831.4,8958.53333333,8818.53333333,8768.96666667,9082.56666667,9283.63333333
1-2-3-6,7698.83333333,9266.86666667,9478.53333333,9094.8,9494.6,7407.4,8967.53333333
