processor,node,bw
0-1-2-3,0,14676.960000000001
0-1-2-3,1,14845.760000000002
0-1-2-3,2,20908.960000000003
0-1-2-3,3,19625.28
0-1-2-3,4,22031.76
0-1-2-3,5,17862.160000000003
0-1-2-3,6,8976.560000000001
0-1-2-3,7,10713.6
0-1-2-4,0,23430.0
0-1-2-4,1,18286.640000000003
0-1-2-4,2,21216.08
0-1-2-4,3,19845.2
0-1-2-4,4,23813.2
0-1-2-4,5,17040.88
0-1-2-4,6,13138.160000000002
0-1-2-4,7,12532.24
0-1-2-5,0,21922.08
0-1-2-5,1,17339.760000000002
0-1-2-5,2,22689.920000000002
0-1-2-5,3,19289.920000000002
0-1-2-5,4,21416.960000000003
0-1-2-5,5,19446.4
0-1-2-5,6,15322.400000000001
0-1-2-5,7,15293.6
0-1-2-6,0,23453.04
0-1-2-6,1,17239.2
0-1-2-6,2,21023.760000000002
0-1-2-6,3,20364.880000000005
0-1-2-6,4,21827.600000000002
0-1-2-6,5,16945.44
0-1-2-6,6,14645.359999999999
0-1-2-6,7,15232.800000000001
0-1-2-7,0,21049.120000000003
0-1-2-7,1,18333.76
0-1-2-7,2,21735.760000000002
0-1-2-7,3,20360.800000000003
0-1-2-7,4,18045.36
0-1-2-7,5,17835.68
0-1-2-7,6,14916.320000000002
0-1-2-7,7,15354.560000000001
0-1-3-4,0,17686.079999999998
0-1-3-4,1,22874.320000000003
0-1-3-4,2,19933.600000000002
0-1-3-4,3,21333.600000000002
0-1-3-4,4,23939.520000000004
0-1-3-4,5,17019.600000000002
0-1-3-4,6,12268.720000000001
0-1-3-4,7,12564.800000000001
0-1-3-5,0,15224.720000000001
0-1-3-5,1,20069.600000000002
0-1-3-5,2,19142.24
0-1-3-5,3,21584.480000000003
0-1-3-5,4,22476.400000000005
0-1-3-5,5,21078.08
0-1-3-5,6,15044.960000000001
0-1-3-5,7,15336.640000000003
0-1-3-6,0,16747.600000000002
0-1-3-6,1,16032.0
0-1-3-6,2,19857.440000000002
0-1-3-6,3,21053.68
0-1-3-6,4,21797.2
0-1-3-6,5,16686.079999999998
0-1-3-6,6,14395.04
0-1-3-6,7,14096.64
0-1-3-7,0,18430.4
0-1-3-7,1,22936.24
0-1-3-7,2,19893.68
0-1-3-7,3,21074.4
0-1-3-7,4,17983.120000000003
0-1-3-7,5,19549.440000000002
0-1-3-7,6,14392.0
0-1-3-7,7,15300.560000000001
0-1-4-5,0,16332.48
0-1-4-5,1,14419.120000000003
0-1-4-5,2,20600.4
0-1-4-5,3,20504.64
0-1-4-5,4,24166.880000000005
0-1-4-5,5,17628.4
0-1-4-5,6,15295.680000000002
0-1-4-5,7,12098.720000000001
0-1-4-6,0,24124.0
0-1-4-6,1,18193.2
0-1-4-6,2,20559.600000000002
0-1-4-6,3,19573.120000000003
0-1-4-6,4,23101.360000000004
0-1-4-6,5,16031.04
0-1-4-6,6,14620.88
0-1-4-6,7,14064.800000000001
0-1-4-7,0,20862.08
0-1-4-7,1,23473.68
0-1-4-7,2,20551.36
0-1-4-7,3,19590.56
0-1-4-7,4,19418.64
0-1-4-7,5,16894.72
0-1-4-7,6,14902.08
0-1-4-7,7,13766.96
0-1-5-6,0,21411.84
0-1-5-6,1,17251.36
0-1-5-6,2,20476.960000000003
0-1-5-6,3,19640.48
0-1-5-6,4,21927.120000000003
0-1-5-6,5,17852.88
0-1-5-6,6,15395.279999999999
0-1-5-6,7,14940.320000000002
0-1-5-7,0,18134.480000000003
0-1-5-7,1,19411.120000000003
0-1-5-7,2,21458.88
0-1-5-7,3,19688.400000000005
0-1-5-7,4,17360.08
0-1-5-7,5,20989.68
0-1-5-7,6,15562.560000000001
0-1-5-7,7,15409.119999999999
0-1-6-7,0,21257.84
0-1-6-7,1,14186.480000000003
0-1-6-7,2,20496.4
0-1-6-7,3,17192.88
0-1-6-7,4,13028.480000000001
0-1-6-7,5,11874.0
0-1-6-7,6,14786.400000000001
0-1-6-7,7,13728.560000000001
0-2-3-4,0,15163.68
0-2-3-4,1,15019.6
0-2-3-4,2,24471.040000000005
0-2-3-4,3,23807.600000000002
0-2-3-4,4,24008.08
0-2-3-4,5,16701.2
0-2-3-4,6,13448.960000000001
0-2-3-4,7,15341.04
0-2-3-5,0,15620.320000000002
0-2-3-5,1,14501.44
0-2-3-5,2,25050.48
0-2-3-5,3,20344.640000000003
0-2-3-5,4,22580.96
0-2-3-5,5,22267.28
0-2-3-5,6,13348.559999999998
0-2-3-5,7,13641.6
0-2-3-6,0,14384.08
0-2-3-6,1,13718.48
0-2-3-6,2,24372.08
0-2-3-6,3,21381.28
0-2-3-6,4,21874.72
0-2-3-6,5,17652.320000000003
0-2-3-6,6,15258.400000000001
0-2-3-6,7,13996.960000000001
0-2-3-7,0,14848.560000000001
0-2-3-7,1,15051.759999999998
0-2-3-7,2,25280.72
0-2-3-7,3,21356.32
0-2-3-7,4,17916.559999999998
0-2-3-7,5,20652.72
0-2-3-7,6,14508.0
0-2-3-7,7,14406.24
0-2-4-5,0,14346.720000000001
0-2-4-5,1,13821.520000000002
0-2-4-5,2,24285.520000000004
0-2-4-5,3,18983.920000000002
0-2-4-5,4,24244.800000000003
0-2-4-5,5,19350.719999999998
0-2-4-5,6,20518.88
0-2-4-5,7,15273.279999999999
0-2-4-6,0,22780.32
0-2-4-6,1,16174.24
0-2-4-6,2,24033.68
0-2-4-6,3,20321.2
0-2-4-6,4,23198.800000000003
0-2-4-6,5,17526.320000000003
0-2-4-6,6,23143.36
0-2-4-6,7,16204.560000000001
0-2-4-7,0,22493.840000000004
0-2-4-7,1,17678.559999999998
0-2-4-7,2,23906.800000000003
0-2-4-7,3,20308.960000000003
0-2-4-7,4,19395.920000000002
0-2-4-7,5,16518.0
0-2-4-7,6,22141.440000000002
0-2-4-7,7,17465.36
0-2-5-6,0,20525.440000000002
0-2-5-6,1,15049.44
0-2-5-6,2,23701.36
0-2-5-6,3,19435.600000000002
0-2-5-6,4,22023.52
0-2-5-6,5,18990.16
0-2-5-6,6,22664.56
0-2-5-6,7,15382.08
0-2-5-7,0,21162.88
0-2-5-7,1,17142.88
0-2-5-7,2,25066.08
0-2-5-7,3,19484.4
0-2-5-7,4,16513.840000000004
0-2-5-7,5,21238.320000000003
0-2-5-7,6,18405.359999999997
0-2-5-7,7,20471.040000000005
0-2-6-7,0,22173.36
0-2-6-7,1,15060.240000000003
0-2-6-7,2,22338.4
0-2-6-7,3,17258.48
0-2-6-7,4,12988.160000000002
0-2-6-7,5,13081.68
0-2-6-7,6,23636.88
0-2-6-7,7,16585.44
0-3-4-5,0,13108.08
0-3-4-5,1,14597.840000000004
0-3-4-5,2,22248.88
0-3-4-5,3,21463.68
0-3-4-5,4,24344.56
0-3-4-5,5,20622.0
0-3-4-5,6,18102.480000000003
0-3-4-5,7,14965.440000000002
0-3-4-6,0,19287.600000000002
0-3-4-6,1,14915.68
0-3-4-6,2,22558.560000000005
0-3-4-6,3,21489.040000000005
0-3-4-6,4,23065.36
0-3-4-6,5,17361.52
0-3-4-6,6,20749.839999999997
0-3-4-6,7,13459.2
0-3-4-7,0,18816.64
0-3-4-7,1,22015.36
0-3-4-7,2,22595.760000000002
0-3-4-7,3,21475.2
0-3-4-7,4,19113.76
0-3-4-7,5,20434.96
0-3-4-7,6,19487.2
0-3-4-7,7,16103.2
0-3-5-6,0,17768.56
0-3-5-6,1,14255.6
0-3-5-6,2,22091.200000000004
0-3-5-6,3,21713.040000000005
0-3-5-6,4,21957.12
0-3-5-6,5,20286.640000000003
0-3-5-6,6,21315.600000000002
0-3-5-6,7,14344.640000000003
0-3-5-7,0,17713.44
0-3-5-7,1,19667.200000000004
0-3-5-7,2,23215.920000000002
0-3-5-7,3,21774.48
0-3-5-7,4,18907.760000000002
0-3-5-7,5,21969.28
0-3-5-7,6,17355.28
0-3-5-7,7,20116.24
0-3-6-7,0,18735.04
