Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1-2-3,4622.53333333,4644.76666667,6649.93333333,6206.93333333,7039.4,5658.03333333,2845.3,3369.76666667
0-1-2-4,7480.0,5649.26666667,6691.96666667,6254.7,7605.63333333,5334.73333333,4120.66666667,3927.83333333
0-1-2-5,6953.5,5408.6,7217.06666667,5998.76666667,7192.5,6156.86666667,4809.8,4792.26666667
0-1-2-6,7488.83333333,5413.66666667,6655.46666667,6413.93333333,6918.56666667,5339.46666667,4605.8,4795.3
0-1-2-7,6430.6,5775.43333333,6889.36666667,6404.8,5654.53333333,5608.66666667,4719.36666667,4816.3
0-1-3-4,5275.03333333,7297.0,6286.93333333,6723.1,7647.1,5380.86666667,3828.76666667,3933.73333333
0-1-3-5,4713.53333333,6318.2,6075.2,6799.3,7185.66666667,6681.76666667,4690.16666667,4774.93333333
0-1-3-6,5299.0,5053.63333333,6270.73333333,6645.33333333,6920.86666667,5257.3,4517.93333333,4374.7
0-1-3-7,5984.3,7313.16666667,6278.0,6623.36666667,5630.63333333,6183.26666667,4539.3,4807.66666667
0-1-4-5,5013.7,4307.56666667,6547.53333333,6493.76666667,7697.13333333,5500.63333333,4796.6,3790.46666667
0-1-4-6,7500.6,5587.83333333,6535.43333333,6212.46666667,7340.9,5040.6,4618.53333333,4416.63333333
0-1-4-7,6635.9,7446.3,6188.63333333,6200.66666667,6128.56666667,5293.33333333,4726.2,4293.96666667
0-1-5-6,7027.56666667,5410.0,6515.63333333,6201.2,6977.9,5608.9,4860.26666667,4730.53333333
0-1-5-7,5673.53333333,6160.36666667,6819.83333333,6227.96666667,5467.1,6668.23333333,4880.56666667,4800.93333333
0-1-6-7,6152.56666667,4973.0,6504.06666667,5698.03333333,4070.5,3724.36666667,4654.8,4328.56666667
0-2-3-4,4532.2,4719.0,7806.56666667,7497.2,7647.1,5494.1,4776.3,4816.56666667
0-2-3-5,4455.26666667,4565.5,7999.83333333,6031.06666667,7207.46666667,7071.16666667,4216.86666667,4250.86666667
0-2-3-6,4480.8,4277.13333333,7781.33333333,6277.4,6601.56666667,5564.7,4621.4,4695.76666667
0-2-3-7,4607.76666667,4692.83333333,8063.0,6710.86666667,5640.0,6556.33333333,4407.86666667,4318.16666667
0-2-4-5,4733.6,4336.43333333,7719.76666667,5985.53333333,7743.76666667,5786.73333333,6523.86666667,4796.93333333
0-2-4-6,7221.5,5077.06666667,7688.0,6056.36666667,7354.06666667,5584.76666667,7346.73333333,5038.86666667
0-2-4-7,7166.86666667,5552.06666667,7631.23333333,5992.46666667,6142.16666667,5481.43333333,7043.83333333,5415.4
0-2-5-6,6499.0,4476.56666667,7708.5,6060.63333333,7005.43333333,5960.0,7206.7,4852.36666667
0-2-5-7,6691.73333333,5381.96666667,8025.83333333,6106.1,5482.5,6764.66666667,6317.86666667,6384.03333333
0-2-6-7,7052.4,4712.9,7652.7,5439.63333333,4078.66666667,4094.86666667,7552.46666667,5195.66666667
0-3-4-5,4271.33333333,4629.36666667,7087.43333333,6800.1,7775.46666667,6805.43333333,5763.2,4661.53333333
0-3-4-6,6066.43333333,4722.3,7217.56666667,6814.23333333,7302.5,5245.56666667,6603.1,4199.36666667
0-3-4-7,6116.36666667,7000.16666667,7208.0,6792.63333333,6035.3,6468.76666667,6181.5,4873.66666667
0-3-5-6,5587.96666667,4491.56666667,7053.2,6863.1,6997.93333333,6392.23333333,6754.4,4505.06666667
0-3-5-7,5569.86666667,6232.23333333,7402.56666667,6872.36666667,5498.73333333,6938.43333333,5934.46666667,6402.6
0-3-6-7,5903.76666667,4691.4,7212.9,6201.26666667,4070.23333333,4356.6,7002.83333333,4613.6
0-4-5-6,4692.16666667,4399.46666667,7126.5,6266.2,7512.0,5762.8,7068.26666667,4749.4
0-4-5-7,4855.46666667,4432.43333333,6709.96666667,6274.56666667,5548.9,6765.63333333,6055.06666667,4427.53333333
0-4-6-7,6357.86666667,4627.46666667,7037.46666667,5738.2,4509.56666667,4568.13333333,7531.0,5515.03333333
0-5-6-7,6064.33333333,4501.5,7120.06666667,5817.2,4687.93333333,4930.5,6494.46666667,5841.1
1-2-3-4,4690.66666667,4128.73333333,6372.7,7514.56666667,7613.4,5503.3,3682.13333333,4256.76666667
1-2-3-5,4555.43333333,3893.3,6993.03333333,7534.23333333,7201.53333333,7073.4,4375.7,4782.83333333
1-2-3-6,4686.33333333,3942.9,6208.93333333,6837.06666667,6946.63333333,5577.13333333,4330.86666667,5069.63333333
1-2-3-7,4515.43333333,4122.2,6600.1,7512.36666667,5672.63333333,6561.8,4214.53333333,4770.7
1-2-4-5,4371.66666667,3796.3,7429.36666667,7029.4,7718.5,6153.06666667,6215.76666667,4739.23333333
1-2-4-6,6981.4,5744.0,7289.5,6467.03333333,7271.63333333,5519.8,6180.5,4675.5
1-2-4-7,6087.93333333,5800.56666667,7303.5,6489.96666667,6145.96666667,5473.8,5561.8,6363.63333333
1-2-5-6,6128.63333333,5499.03333333,7604.86666667,5489.6,7026.66666667,6004.3,6215.83333333,7004.53333333
1-2-5-7,5735.73333333,5125.93333333,7456.7,5955.8,5528.93333333,6761.8,5694.76666667,7107.16666667
