Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1-2-3,4604.0,4657.73333333,6606.63333333,6179.3,6992.5,5630.7,2804.0,3352.03333333
0-1-2-4,7422.73333333,5764.66666667,6679.96666667,6251.4,7559.93333333,5360.06666667,4104.46666667,3912.46666667
0-1-2-5,6906.5,5458.2,7169.03333333,6086.53333333,6781.3,6137.56666667,4795.2,4777.23333333
0-1-2-6,7427.13333333,5416.36666667,6614.76666667,6422.06666667,6901.63333333,5329.2,4592.66666667,4787.76666667
0-1-2-7,6637.2,5784.2,6846.2,6421.03333333,5667.86666667,5619.36666667,4696.46666667,4803.6
0-1-3-4,5589.56666667,7260.3,6283.9,6718.06666667,7604.6,5355.23333333,3834.43333333,3921.46666667
0-1-3-5,4767.16666667,6305.7,6054.1,6801.83333333,7134.73333333,6674.9,4700.93333333,4793.0
0-1-3-6,5278.1,5036.46666667,6256.93333333,6646.5,6892.7,5249.96666667,4510.2,4382.46666667
0-1-3-7,5782.96666667,7280.63333333,6270.8,6650.96666667,5651.6,6184.43333333,4526.76666667,4793.66666667
0-1-4-5,5142.76666667,4518.6,6516.03333333,6486.06666667,7663.46666667,5535.06666667,4786.1,3776.26666667
0-1-4-6,7651.03333333,5736.5,6495.63333333,6196.0,7289.7,5017.96666667,4585.76666667,4390.83333333
0-1-4-7,6588.06666667,7415.33333333,6490.53333333,6206.03333333,6107.06666667,5313.06666667,4692.13333333,4306.86666667
0-1-5-6,6792.13333333,5431.73333333,6476.86666667,6200.86666667,6947.63333333,5609.03333333,4820.7,4697.36666667
0-1-5-7,5678.86666667,6110.96666667,6798.66666667,6218.6,5465.36666667,6642.6,4864.73333333,4815.33333333
0-1-6-7,6723.93333333,4451.5,6479.6,5440.9,4069.5,3708.3,4639.0,4306.9
0-2-3-4,4763.06666667,4712.66666667,7766.23333333,7524.86666667,7625.23333333,5273.73333333,4210.46666667,4796.96666667
0-2-3-5,4899.73333333,4554.26666667,7953.56666667,6408.1,7170.0,7059.26666667,4207.16666667,4276.96666667
0-2-3-6,4513.43333333,4287.5,7727.1,6723.8,6916.03333333,5561.0,4796.76666667,4362.1
0-2-3-7,4642.13333333,4725.1,8027.26666667,6717.43333333,5629.16666667,6532.73333333,4569.93333333,4521.93333333
0-2-4-5,4507.1,4324.06666667,7708.23333333,5996.43333333,7686.33333333,6108.23333333,6490.7,4775.8
0-2-4-6,7184.9,5084.06666667,7631.16666667,6392.9,7321.83333333,5515.03333333,7309.2,5070.33333333
0-2-4-7,7126.0,5560.23333333,7590.56666667,6393.16666667,6102.63333333,5218.53333333,7017.56666667,5493.4
0-2-5-6,6481.56666667,4712.93333333,7519.2,6085.6,6977.06666667,5973.43333333,7179.63333333,4841.73333333
0-2-5-7,6682.73333333,5386.56666667,7957.8,6095.33333333,5199.66666667,6730.7,5828.83333333,6397.2
0-2-6-7,7005.86666667,4704.3,7055.3,5427.16666667,4056.8,4084.46666667,7487.53333333,5212.0
0-3-4-5,4123.23333333,4615.33333333,7051.06666667,6803.63333333,7717.86666667,6485.83333333,5717.6,4677.96666667
0-3-4-6,6065.7,4695.23333333,7163.7,6807.93333333,7272.4,5460.9,6554.13333333,4206.56666667
0-3-4-7,5913.13333333,6976.1,7177.16666667,6807.26666667,6014.16666667,6452.66666667,6165.16666667,5057.96666667
0-3-5-6,5593.96666667,4472.76666667,6997.8,6861.4,6953.83333333,6393.26666667,6730.4,4481.36666667
0-3-5-7,5541.53333333,6224.0,7366.8,6881.33333333,5949.93333333,6930.6,5465.96666667,6358.6
0-3-6-7,5888.33333333,4855.23333333,7156.9,5927.83333333,4060.03333333,4386.1,7013.23333333,4586.9
0-4-5-6,4639.8,4759.73333333,7082.0,6262.33333333,7468.1,5763.8,7023.9,4769.3
0-4-5-7,4806.16666667,4430.13333333,7079.13333333,6278.53333333,5139.1,6777.23333333,6034.4,4424.8
0-4-6-7,6668.8,4612.86666667,7006.23333333,5757.93333333,4508.2,4574.93333333,7487.73333333,5508.26666667
0-5-6-7,6048.66666667,4509.13333333,7096.83333333,5818.13333333,4668.96666667,4563.46666667,6641.06666667,5806.8
1-2-3-4,4666.13333333,4277.1,6604.66666667,7533.56666667,7582.73333333,5509.8,3678.23333333,4253.3
1-2-3-5,4538.63333333,4222.33333333,6963.86666667,7551.83333333,7159.23333333,7068.33333333,4249.36666667,4797.43333333
1-2-3-6,4652.7,3924.6,6591.9,6803.76666667,6913.36666667,5293.7,4080.6,4508.1
1-2-3-7,4507.4,4118.46666667,6589.96666667,7526.23333333,5619.8,6540.03333333,4169.36666667,5152.2
1-2-4-5,4366.63333333,3726.23333333,7402.6,7028.13333333,7633.46666667,6121.73333333,6183.2,4745.63333333
1-2-4-6,6946.53333333,5830.93333333,7239.1,6464.5,7220.9,5500.46666667,6110.03333333,5011.2
1-2-4-7,6070.06666667,5820.23333333,7251.83333333,6690.03333333,6099.53333333,5476.6,5528.86666667,6371.26666667
1-2-5-6,6145.93333333,5519.53333333,7401.26666667,5995.3,6984.23333333,5976.96666667,6169.2,6960.53333333
1-2-5-7,5717.76666667,5115.63333333,7386.16666667,5946.76666667,5499.1,6752.83333333,5671.7,7125.93333333
