socket,node,bw
0-2-5-6,3,6073.625000000001
0-2-5-6,4,6882.349999999999
0-2-5-6,5,5934.424999999999
0-2-5-6,6,7082.675
0-2-5-6,7,4806.9
0-2-5-7,0,6613.4
0-2-5-7,1,5357.15
0-2-5-7,2,7833.150000000001
0-2-5-7,3,6088.875
0-2-5-7,4,5160.575000000001
0-2-5-7,5,6636.975
0-2-5-7,6,5751.674999999999
0-2-5-7,7,6397.200000000001
0-2-6-7,0,6929.175
0-2-6-7,1,4706.325000000001
0-2-6-7,2,6980.75
0-2-6-7,3,5393.275
0-2-6-7,4,4058.8
0-2-6-7,5,4088.0249999999996
0-2-6-7,6,7386.525
0-2-6-7,7,5182.95
0-3-4-5,0,4096.275
0-3-4-5,1,4561.825000000001
0-3-4-5,2,6952.775
0-3-4-5,3,6707.4
0-3-4-5,4,7607.675
0-3-4-5,5,6444.375
0-3-4-5,6,5657.025000000001
0-3-4-5,7,4676.700000000001
0-3-4-6,0,6027.375
0-3-4-6,1,4661.15
0-3-4-6,2,7049.550000000001
0-3-4-6,3,6715.325000000001
0-3-4-6,4,7207.925
0-3-4-6,5,5425.475
0-3-4-6,6,6484.324999999999
0-3-4-6,7,4206.0
0-3-4-7,0,5880.2
0-3-4-7,1,6879.8
0-3-4-7,2,7061.175
0-3-4-7,3,6711.0
0-3-4-7,4,5973.049999999999
0-3-4-7,5,6385.924999999999
0-3-4-7,6,6089.75
0-3-4-7,7,5032.25
0-3-5-6,0,5552.675
0-3-5-6,1,4454.875
0-3-5-6,2,6903.500000000001
0-3-5-6,3,6785.325000000001
0-3-5-6,4,6861.599999999999
0-3-5-6,5,6339.575000000001
0-3-5-6,6,6661.125
0-3-5-6,7,4482.700000000001
0-3-5-7,0,5535.45
0-3-5-7,1,6146.000000000001
0-3-5-7,2,7254.975
0-3-5-7,3,6804.525
0-3-5-7,4,5908.675
0-3-5-7,5,6865.4
0-3-5-7,6,5423.525
0-3-5-7,7,6286.325
0-3-6-7,0,5854.7
0-3-6-7,1,4804.925
0-3-6-7,2,7042.275
0-3-6-7,3,5847.025
0-3-6-7,4,4060.725
0-3-6-7,5,4383.725
0-3-6-7,6,6951.575000000001
0-3-6-7,7,4568.925
0-4-5-6,0,4626.725
0-4-5-6,1,4747.625
0-4-5-6,2,6967.475
0-4-5-6,3,6195.825000000001
0-4-5-6,4,7369.3
0-4-5-6,5,5735.324999999999
0-4-5-6,6,6947.349999999999
0-4-5-6,7,4769.725
0-4-5-7,0,4772.325000000001
0-4-5-7,1,4402.65
0-4-5-7,2,6966.375
0-4-5-7,3,6210.7
0-4-5-7,4,5106.625
0-4-5-7,5,6707.55
0-4-5-7,6,5957.724999999999
0-4-5-7,7,4409.75
0-4-6-7,0,6615.174999999999
0-4-6-7,1,4584.425
0-4-6-7,2,6895.8
0-4-6-7,3,5694.0
0-4-6-7,4,4490.2
0-4-6-7,5,4582.025
0-4-6-7,6,7390.349999999999
0-4-6-7,7,5484.475
0-5-6-7,0,5997.725
0-5-6-7,1,4484.45
0-5-6-7,2,6980.924999999999
0-5-6-7,3,5757.924999999999
0-5-6-7,4,4634.85
0-5-6-7,5,4557.7
0-5-6-7,6,6562.375
0-5-6-7,7,5753.299999999999
1-2-3-4,0,4651.825
1-2-3-4,1,4288.925
1-2-3-4,2,6532.200000000001
1-2-3-4,3,7453.25
1-2-3-4,4,7460.35
1-2-3-4,5,5455.675
1-2-3-4,6,3674.55
1-2-3-4,7,4241.525
1-2-3-5,0,4511.325000000001
1-2-3-5,1,4230.575
1-2-3-5,2,6883.6
1-2-3-5,3,7436.125
1-2-3-5,4,7044.549999999999
1-2-3-5,5,6968.0
1-2-3-5,6,4219.85
1-2-3-5,7,4794.975
1-2-3-6,0,4639.325
1-2-3-6,1,3928.225
1-2-3-6,2,6526.525000000001
1-2-3-6,3,6733.549999999999
1-2-3-6,4,6831.349999999999
1-2-3-6,5,5245.3
1-2-3-6,6,4063.3749999999995
1-2-3-6,7,4482.125
1-2-3-7,0,4509.075
1-2-3-7,1,4124.825
1-2-3-7,2,6515.575000000001
1-2-3-7,3,7436.7
1-2-3-7,4,5592.6
1-2-3-7,5,6456.0
1-2-3-7,6,4163.9
1-2-3-7,7,5140.825
1-2-4-5,0,4331.049999999999
1-2-4-5,1,3735.675
1-2-4-5,2,7288.4
1-2-4-5,3,6928.224999999999
1-2-4-5,4,7523.874999999999
1-2-4-5,5,6059.15
1-2-4-5,6,6102.35
1-2-4-5,7,4746.6
1-2-4-6,0,6852.875
1-2-4-6,1,5778.85
1-2-4-6,2,7132.700000000001
1-2-4-6,3,6395.450000000001
1-2-4-6,4,7150.65
1-2-4-6,5,5467.125
1-2-4-6,6,6065.675
1-2-4-6,7,4970.9
1-2-4-7,0,6002.575000000001
1-2-4-7,1,5819.125000000001
1-2-4-7,2,7146.85
1-2-4-7,3,6603.875
1-2-4-7,4,6060.200000000001
1-2-4-7,5,5424.525
1-2-4-7,6,5488.75
1-2-4-7,7,6372.475
1-2-5-6,0,6069.675000000001
1-2-5-6,1,5482.65
1-2-5-6,2,7292.700000000001
1-2-5-6,3,5910.700000000001
1-2-5-6,4,6885.775
1-2-5-6,5,5935.075
1-2-5-6,6,6112.875
1-2-5-6,7,6867.775000000001
1-2-5-7,0,5666.400000000001
1-2-5-7,1,5116.0
1-2-5-7,2,7273.725
1-2-5-7,3,5875.449999999999
1-2-5-7,4,5461.225
1-2-5-7,5,6654.075000000001
1-2-5-7,6,5631.749999999999
1-2-5-7,7,7067.775000000001
1-2-6-7,0,5955.675
1-2-6-7,1,4462.950000000001
1-2-6-7,2,7144.9
1-2-6-7,3,5332.875
1-2-6-7,4,4059.7250000000004
1-2-6-7,5,4106.1
1-2-6-7,6,5033.975
1-2-6-7,7,7181.75
1-3-4-5,0,4324.5
1-3-4-5,1,4241.6
1-3-4-5,2,5739.55
1-3-4-5,3,7183.05
1-3-4-5,4,7579.625
1-3-4-5,5,6732.55
1-3-4-5,6,5764.625
1-3-4-5,7,4761.45
1-3-4-6,0,5278.075
1-3-4-6,1,6429.775
