processor,node,bw
0-2-4-7,6,6905.375
0-2-4-7,7,5718.474999999999
0-2-5-6,0,7386.125
0-2-5-6,1,4649.175
0-2-5-6,2,7915.775000000001
0-2-5-6,3,6122.950000000001
0-2-5-6,4,6892.55
0-2-5-6,5,6488.025000000001
0-2-5-6,6,7079.425
0-2-5-6,7,5621.900000000001
0-2-5-7,0,6684.4
0-2-5-7,1,5304.25
0-2-5-7,2,7914.275
0-2-5-7,3,6169.65
0-2-5-7,4,5434.725
0-2-5-7,5,7042.025000000001
0-2-5-7,6,6555.325
0-2-5-7,7,6389.599999999999
0-2-6-7,0,7074.975
0-2-6-7,1,4790.625
0-2-6-7,2,7585.7
0-2-6-7,3,5477.475
0-2-6-7,4,4149.525
0-2-6-7,5,4254.099999999999
0-2-6-7,6,7534.1
0-2-6-7,7,5861.674999999999
0-3-4-5,0,4653.174999999999
0-3-4-5,1,5167.25
0-3-4-5,2,6961.325000000001
0-3-4-5,3,6612.650000000001
0-3-4-5,4,7460.775
0-3-4-5,5,7029.275
0-3-4-5,6,5697.65
0-3-4-5,7,4826.2
0-3-4-6,0,6441.975
0-3-4-6,1,4895.575000000001
0-3-4-6,2,7072.425
0-3-4-6,3,6755.500000000001
0-3-4-6,4,7223.5
0-3-4-6,5,5679.275000000001
0-3-4-6,6,6831.575
0-3-4-6,7,4255.35
0-3-4-7,0,6193.125
0-3-4-7,1,6918.075
0-3-4-7,2,7048.5
0-3-4-7,3,6911.500000000001
0-3-4-7,4,6275.525000000001
0-3-4-7,5,6138.325000000001
0-3-4-7,6,6117.549999999999
0-3-4-7,7,5110.175
0-3-5-6,0,5914.174999999999
0-3-5-6,1,4688.325000000001
0-3-5-6,2,6940.875
0-3-5-6,3,7040.174999999999
0-3-5-6,4,6881.8
0-3-5-6,5,6558.725
0-3-5-6,6,6507.675000000001
0-3-5-6,7,4732.1
0-3-5-7,0,5814.849999999999
0-3-5-7,1,6169.974999999999
0-3-5-7,2,7286.95
0-3-5-7,3,6878.375
0-3-5-7,4,5287.85
0-3-5-7,5,7058.225
0-3-5-7,6,5736.5
0-3-5-7,7,6258.725
0-3-6-7,0,6478.275000000001
0-3-6-7,1,4838.275
0-3-6-7,2,6995.025
0-3-6-7,3,6266.450000000001
0-3-6-7,4,4104.9
0-3-6-7,5,4267.025
0-3-6-7,6,6990.3
0-3-6-7,7,5442.95
0-4-5-6,0,5262.825
0-4-5-6,1,4995.15
0-4-5-6,2,6773.525000000001
0-4-5-6,3,6214.499999999999
0-4-5-6,4,7177.275000000001
0-4-5-6,5,6193.325000000001
0-4-5-6,6,7213.975
0-4-5-6,7,4812.775
0-4-5-7,0,5037.375
0-4-5-7,1,4999.875
0-4-5-7,2,6991.15
0-4-5-7,3,6324.174999999999
0-4-5-7,4,5336.924999999999
0-4-5-7,5,6912.799999999999
0-4-5-7,6,6387.0
0-4-5-7,7,5141.125
0-4-6-7,0,6878.199999999999
0-4-6-7,1,4831.25
0-4-6-7,2,6909.525
0-4-6-7,3,5752.424999999999
0-4-6-7,4,4956.7
0-4-6-7,5,4739.975
0-4-6-7,6,7417.75
0-4-6-7,7,5443.55
0-5-6-7,0,6157.1
0-5-6-7,1,5024.15
0-5-6-7,2,6994.75
0-5-6-7,3,5679.725
0-5-6-7,4,4965.225
0-5-6-7,5,5828.224999999999
0-5-6-7,6,6770.65
0-5-6-7,7,5774.825000000001
1-2-3-4,0,4705.825000000001
1-2-3-4,1,4786.175
1-2-3-4,2,6672.075000000001
1-2-3-4,3,7542.325
1-2-3-4,4,7481.6
1-2-3-4,5,5727.825
1-2-3-4,6,3852.2999999999997
1-2-3-4,7,4503.3
1-2-3-5,0,4501.425
1-2-3-5,1,4544.125
1-2-3-5,2,7259.075
1-2-3-5,3,7358.875000000001
1-2-3-5,4,6962.925
1-2-3-5,5,7270.525000000001
1-2-3-5,6,4744.375
1-2-3-5,7,4528.25
1-2-3-6,0,4927.15
1-2-3-6,1,4423.925
1-2-3-6,2,6671.675
1-2-3-6,3,7117.875
1-2-3-6,4,6618.275
1-2-3-6,5,5751.95
1-2-3-6,6,4923.125
1-2-3-6,7,5438.599999999999
1-2-3-7,0,4613.924999999999
1-2-3-7,1,4856.7
1-2-3-7,2,6513.400000000001
1-2-3-7,3,7513.825000000001
1-2-3-7,4,5350.1
1-2-3-7,5,6457.775
1-2-3-7,6,4749.25
1-2-3-7,7,5335.925
1-2-4-5,0,4631.5
1-2-4-5,1,4138.974999999999
1-2-4-5,2,7390.025
1-2-4-5,3,6935.299999999999
1-2-4-5,4,7225.775000000001
1-2-4-5,5,6187.900000000001
1-2-4-5,6,6113.6
1-2-4-5,7,4748.375
1-2-4-6,0,6859.25
1-2-4-6,1,5989.15
1-2-4-6,2,6930.375
1-2-4-6,3,5844.549999999999
1-2-4-6,4,7005.95
1-2-4-6,5,5596.0
1-2-4-6,6,6522.2
1-2-4-6,7,5143.85
1-2-4-7,0,6432.224999999999
1-2-4-7,1,5885.5
1-2-4-7,2,7164.699999999999
1-2-4-7,3,6164.625
1-2-4-7,4,6209.55
1-2-4-7,5,6158.4
1-2-4-7,6,5202.5
1-2-4-7,7,6438.775
1-2-5-6,0,6077.575
1-2-5-6,1,5269.35
1-2-5-6,2,7354.95
1-2-5-6,3,5461.3
1-2-5-6,4,6888.175
1-2-5-6,5,6003.450000000001
1-2-5-6,6,6631.150000000001
1-2-5-6,7,6878.675
1-2-5-7,0,5785.674999999999
1-2-5-7,1,5371.45
1-2-5-7,2,7389.975
1-2-5-7,3,5869.225
1-2-5-7,4,5298.674999999999
1-2-5-7,5,6524.650000000001
1-2-5-7,6,5494.725
1-2-5-7,7,6930.65
1-2-6-7,0,5964.825
1-2-6-7,1,5081.2
1-2-6-7,2,7241.725
1-2-6-7,3,5522.35
1-2-6-7,4,4067.8
1-2-6-7,5,4482.900000000001
1-2-6-7,6,5200.9
1-2-6-7,7,6992.625
1-3-4-5,0,4831.35
1-3-4-5,1,4756.925
1-3-4-5,2,6520.75
1-3-4-5,3,7373.9
1-3-4-5,4,7582.575
1-3-4-5,5,7306.700000000001
1-3-4-5,6,5784.9
1-3-4-5,7,4748.15
1-3-4-6,0,5594.35
1-3-4-6,1,6398.0
1-3-4-6,2,6724.5
1-3-4-6,3,6904.1
1-3-4-6,4,7193.474999999999
1-3-4-6,5,5520.65
1-3-4-6,6,5931.625
1-3-4-6,7,4738.25
1-3-4-7,0,5706.799999999999
1-3-4-7,1,7254.925
1-3-4-7,2,6583.925
1-3-4-7,3,6963.65
1-3-4-7,4,6298.275
1-3-4-7,5,5875.1
1-3-4-7,6,5325.95
1-3-4-7,7,6329.375
1-3-5-6,0,5569.175000000001
1-3-5-6,1,5897.1
1-3-5-6,2,5993.025
1-3-5-6,3,7091.25
1-3-5-6,4,6961.25
1-3-5-6,5,6616.725
1-3-5-6,6,5701.875000000001
1-3-5-6,7,6471.55
1-3-5-7,0,5041.075
1-3-5-7,1,6101.1
1-3-5-7,2,6442.275
1-3-5-7,3,7009.525000000001
1-3-5-7,4,5228.3
1-3-5-7,5,6964.225
1-3-5-7,6,4807.625
1-3-5-7,7,6150.125
1-3-6-7,0,5839.625
1-3-6-7,1,5764.25
1-3-6-7,2,6557.25
1-3-6-7,3,6758.625
1-3-6-7,4,4104.6
1-3-6-7,5,4345.1
1-3-6-7,6,4873.525
1-3-6-7,7,6477.700000000001
1-4-5-6,0,5152.950000000001
1-4-5-6,1,4260.175
1-4-5-6,2,6455.975
1-4-5-6,3,6473.7
1-4-5-6,4,7185.225
1-4-5-6,5,6003.075000000001
1-4-5-6,6,6002.35
1-4-5-6,7,5235.4
1-4-5-7,0,5225.725
1-4-5-7,1,4904.6
1-4-5-7,2,6509.95
1-4-5-7,3,6481.85
1-4-5-7,4,5339.15
1-4-5-7,5,6971.35
1-4-5-7,6,5290.675
1-4-5-7,7,4874.875
1-4-6-7,0,6241.375
1-4-6-7,1,5524.175
1-4-6-7,2,6606.549999999999
1-4-6-7,3,6149.475
1-4-6-7,4,5259.299999999999
1-4-6-7,5,4665.35
1-4-6-7,6,5335.725
1-4-6-7,7,6193.525
