processor,node,bw
0-2-4-7,2,24517.68
0-2-4-7,3,20031.600000000002
0-2-4-7,4,20281.84
0-2-4-7,5,18159.040000000005
0-2-4-7,6,22141.04
0-2-4-7,7,18988.88
0-2-5-6,0,22277.040000000005
0-2-5-6,1,14877.120000000003
0-2-5-6,2,24334.960000000003
0-2-5-6,3,19748.72
0-2-5-6,4,21811.760000000002
0-2-5-6,5,20003.2
0-2-5-6,6,22714.88
0-2-5-6,7,18292.64
0-2-5-7,0,20430.96
0-2-5-7,1,16744.320000000003
0-2-5-7,2,25101.120000000003
0-2-5-7,3,19728.88
0-2-5-7,4,18276.640000000003
0-2-5-7,5,20865.760000000002
0-2-5-7,6,19603.2
0-2-5-7,7,21437.440000000002
0-2-6-7,0,22021.920000000002
0-2-6-7,1,15704.88
0-2-6-7,2,24357.920000000002
0-2-6-7,3,17149.600000000002
0-2-6-7,4,13190.400000000001
0-2-6-7,5,13941.759999999998
0-2-6-7,6,23786.64
0-2-6-7,7,18127.600000000002
0-3-4-5,0,14715.2
0-3-4-5,1,15869.759999999998
0-3-4-5,2,22250.64
0-3-4-5,3,20860.160000000003
0-3-4-5,4,24418.32
0-3-4-5,5,23096.88
0-3-4-5,6,18932.160000000003
0-3-4-5,7,14837.68
0-3-4-6,0,20155.760000000002
0-3-4-6,1,16852.48
0-3-4-6,2,22441.76
0-3-4-6,3,21983.2
0-3-4-6,4,22655.840000000004
0-3-4-6,5,17675.36
0-3-4-6,6,20494.96
0-3-4-6,7,13771.520000000002
0-3-4-7,0,19180.079999999998
0-3-4-7,1,22005.040000000005
0-3-4-7,2,22553.920000000002
0-3-4-7,3,21394.56
0-3-4-7,4,19925.76
0-3-4-7,5,18538.719999999998
0-3-4-7,6,19482.16
0-3-4-7,7,16939.84
0-3-5-6,0,19060.16
0-3-5-6,1,15954.720000000001
0-3-5-6,2,22168.960000000003
0-3-5-6,3,22325.920000000002
0-3-5-6,4,21951.2
0-3-5-6,5,21208.320000000003
0-3-5-6,6,21266.320000000003
0-3-5-6,7,16716.24
0-3-5-7,0,18169.680000000004
0-3-5-7,1,19559.2
0-3-5-7,2,23244.240000000005
0-3-5-7,3,21947.36
0-3-5-7,4,16725.280000000002
0-3-5-7,5,21342.88
0-3-5-7,6,18153.28
0-3-5-7,7,19490.0
0-3-6-7,0,19419.440000000002
0-3-6-7,1,16085.440000000002
0-3-6-7,2,22464.239999999998
0-3-6-7,3,20285.36
0-3-6-7,4,12942.880000000001
0-3-6-7,5,13459.759999999998
0-3-6-7,6,21629.68
0-3-6-7,7,17370.16
0-4-5-6,0,17266.4
0-4-5-6,1,15748.64
0-4-5-6,2,22130.480000000003
0-4-5-6,3,19815.600000000002
0-4-5-6,4,22832.960000000003
0-4-5-6,5,19919.120000000003
