Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1-2-3,5489.36666667,5135.6,6714.26666667,6673.03333333,7021.96666667,6083.73333333,3040.33333333,3481.86666667
0-1-2-4,7906.33333333,6325.93333333,6998.93333333,6288.6,7691.73333333,5946.53333333,4068.06666667,4155.33333333
0-1-2-5,6755.53333333,5775.83333333,7403.06666667,6011.86666667,7164.3,6297.1,4803.4,4783.2
0-1-2-6,7540.66666667,5679.8,6992.4,6341.1,6713.43333333,5880.43333333,6053.93333333,5519.43333333
0-1-2-7,6852.5,5684.3,7164.73333333,6459.13333333,5394.53333333,6059.0,5200.83333333,5556.6
0-1-3-4,5714.56666667,6864.33333333,6279.66666667,6890.1,7947.53333333,5756.56666667,3935.7,4126.66666667
0-1-3-5,5397.43333333,5802.36666667,6072.7,6976.2,7234.63333333,6942.76666667,4642.6,4782.86666667
0-1-3-6,5886.7,5910.26666667,6278.53333333,6816.63333333,6677.16666667,5615.26666667,5421.53333333,4808.36666667
0-1-3-7,6549.2,7245.63333333,6223.1,6866.6,5553.16666667,6195.2,4851.3,5621.4
0-1-4-5,5530.33333333,5521.63333333,6524.2,6501.8,7356.16666667,5909.86666667,4445.66666667,4029.66666667
0-1-4-6,7427.86666667,6155.36666667,6231.76666667,6222.5,7386.23333333,5030.5,5449.3,4648.16666667
0-1-4-7,6904.43333333,7227.96666667,6408.53333333,6211.73333333,6542.93333333,5632.0,5174.7,5152.33333333
0-1-5-6,7646.83333333,5395.56666667,6501.83333333,6228.0,6973.03333333,6102.23333333,5504.0,5853.66666667
0-1-5-7,5988.9,6518.9,6823.86666667,6198.2,5474.7,6599.7,4782.6,5687.33333333
0-1-6-7,6858.36666667,5378.03333333,6424.16666667,5695.96666667,4086.43333333,3713.3,5621.8,5381.4
0-2-3-4,5315.93333333,5184.46666667,7750.7,7424.66666667,7538.86666667,6028.56666667,4786.4,4822.36666667
0-2-3-5,5242.53333333,4943.36666667,8086.8,6737.2,7189.9,7181.63333333,4778.26666667,4956.9
0-2-3-6,5611.8,4369.33333333,7817.03333333,7100.6,6839.73333333,5732.3,5675.66666667,4703.36666667
0-2-3-7,5080.26666667,4734.13333333,7995.36666667,7122.86666667,5372.26666667,6545.63333333,4987.03333333,4978.23333333
0-2-4-5,5551.13333333,4950.83333333,7723.6,6240.66666667,8241.66666667,6665.66666667,6500.23333333,5237.86666667
0-2-4-6,7459.46666667,5205.8,7747.9,6386.83333333,7547.23333333,5913.3,7635.2,5518.8
0-2-4-7,7114.23333333,5664.9,8296.36666667,6435.53333333,6240.46666667,5855.23333333,7001.2,5778.5
0-2-5-6,7478.03333333,4659.43333333,8047.73333333,6121.16666667,6989.33333333,6619.73333333,7171.26666667,5673.73333333
0-2-5-7,6730.06666667,5344.56666667,8011.73333333,6202.23333333,5500.5,7122.26666667,6653.46666667,6468.66666667
0-2-6-7,7151.13333333,4759.36666667,7701.03333333,5501.96666667,4169.16666667,4273.0,7649.8,5923.93333333
0-3-4-5,4683.66666667,5241.63333333,7059.0,6730.56666667,7573.1,7115.5,5760.56666667,4861.03333333
0-3-4-6,6516.66666667,4933.66666667,7187.0,6855.4,7310.16666667,5730.33333333,6907.86666667,4238.53333333
0-3-4-7,6246.23333333,7014.76666667,7160.33333333,6990.9,6337.33333333,6205.13333333,6193.63333333,5164.63333333
0-3-5-6,5903.83333333,4715.33333333,7037.03333333,7141.26666667,6976.23333333,6620.9,6580.53333333,4740.23333333
0-3-5-7,5832.23333333,6251.3,7396.1,6965.73333333,5350.16666667,7127.96666667,5769.7,6343.7
0-3-6-7,6564.26666667,4902.03333333,7109.26666667,6363.93333333,4119.3,4275.5,7024.3,5466.03333333
