processor,node,bw
0-1,0,8438.625
0-1,1,9151.625
0-1,2,4106.025
0-1,3,4099.9
0-1,4,5966.875
0-1,5,3869.725
0-1,6,2425.125
0-1,7,2426.625
0-2,0,6058.950000000001
0-2,1,4209.475
0-2,2,8476.974999999999
0-2,3,4931.85
0-2,4,6013.450000000001
0-2,5,6024.724999999999
0-2,6,4741.925
0-2,7,4198.075000000001
0-3,0,5494.0
0-3,1,6080.625
0-3,2,7308.9
0-3,3,7384.375
0-3,4,5989.150000000001
0-3,5,5322.650000000001
0-3,6,4511.725
0-3,7,4074.3999999999996
0-4,0,5981.425
0-4,1,6134.725
0-4,2,6259.3
0-4,3,5827.075000000001
0-4,4,5953.700000000001
0-4,5,4444.1
0-4,6,5115.95
0-4,7,4003.825
0-5,0,4599.375
0-5,1,4090.125
0-5,2,6429.35
0-5,3,6166.825
0-5,4,5996.05
0-5,5,6006.4
0-5,6,6152.7
0-5,7,3632.95
0-6,0,7798.450000000001
0-6,1,4610.5
0-6,2,6100.6
0-6,3,5555.2
0-6,4,4687.025000000001
0-6,5,4150.95
0-6,6,5970.8
0-6,7,4217.65
0-7,0,8406.55
0-7,1,6143.224999999999
0-7,2,8129.375
0-7,3,5600.675
0-7,4,3448.875
0-7,5,4948.325000000001
0-7,6,6198.05
0-7,7,4788.625
1-2,0,6039.400000000001
1-2,1,4761.275
1-2,2,7386.225
1-2,3,8362.599999999999
1-2,4,6001.975
1-2,5,5941.55
1-2,6,3480.175
1-2,7,5168.4
1-3,0,4289.2
1-3,1,6025.75
1-3,2,4892.049999999999
1-3,3,7064.45
1-3,4,6041.325000000001
1-3,5,5132.85
1-3,6,3118.775
1-3,7,3416.65
1-4,0,5978.7
1-4,1,6234.3
1-4,2,5421.575000000001
1-4,3,6207.099999999999
1-4,4,6091.55
1-4,5,4776.9
1-4,6,3673.175
1-4,7,3444.8
1-5,0,4690.85
1-5,1,5151.325000000001
1-5,2,7573.950000000001
1-5,3,5124.75
1-5,4,6071.7
1-5,5,6909.175000000001
1-5,6,4231.325000000001
1-5,7,5957.200000000001
1-6,0,7285.9
1-6,1,4233.074999999999
1-6,2,5405.0
1-6,3,5346.975
1-6,4,4693.474999999999
1-6,5,4154.9
1-6,6,5609.924999999999
1-6,7,6142.95
1-7,0,5271.1
1-7,1,6207.525
1-7,2,6024.725
1-7,3,6173.525
1-7,4,3421.3
1-7,5,4732.9
1-7,6,3946.8999999999996
1-7,7,6277.95
2-3,0,2378.0
2-3,1,2382.325
2-3,2,8381.275
2-3,3,9153.35
2-3,4,6091.025
2-3,5,6998.724999999999
2-3,6,2399.9
2-3,7,2377.75
2-4,0,4465.9
2-4,1,3441.15
2-4,2,6979.15
2-4,3,6203.575
2-4,4,6189.85
2-4,5,8534.625
2-4,6,6149.099999999999
2-4,7,4120.525
2-5,0,3870.175
2-5,1,3126.175
2-5,2,7402.575
2-5,3,6242.35
2-5,4,6158.85
2-5,5,8425.4
2-5,6,5366.099999999999
2-5,7,4675.7
2-6,0,4919.25
2-6,1,3761.45
2-6,2,5997.125
2-6,3,4742.6
2-6,4,4737.1
2-6,5,4127.675
2-6,6,6043.25
2-6,7,6164.200000000001
2-7,0,6009.025
2-7,1,3463.675
2-7,2,7756.424999999999
2-7,3,4809.375
2-7,4,3482.925
2-7,5,6003.3
2-7,6,6075.799999999999
2-7,7,6078.775
3-4,0,3409.55
3-4,1,4631.175
3-4,2,6165.875
3-4,3,5637.925
3-4,4,6097.475
3-4,5,7605.625
3-4,6,4138.75
3-4,7,4040.975
3-5,0,3347.9
3-5,1,4583.4
3-5,2,8563.9
3-5,3,6209.025
3-5,4,6094.325
3-5,5,7817.875
3-5,6,4712.65
3-5,7,3419.325
3-6,0,3617.9750000000004
3-6,1,4201.049999999999
3-6,2,6080.775
3-6,3,6057.525000000001
3-6,4,4722.174999999999
3-6,5,3771.625
3-6,6,4695.0
3-6,7,4119.799999999999
3-7,0,4021.1749999999997
3-7,1,4676.299999999999
3-7,2,7272.724999999999
3-7,3,9229.825
3-7,4,3441.95
3-7,5,6004.275000000001
3-7,6,5302.275000000001
3-7,7,4697.75
4-5,0,2372.25
4-5,1,2392.925
4-5,2,5679.799999999999
4-5,3,4764.4
4-5,4,8380.025000000001
4-5,5,9145.95
4-5,6,4133.95
4-5,7,2409.1
4-6,0,6036.0
4-6,1,3627.725
4-6,2,6053.25
4-6,3,5037.225
4-6,4,5843.525
4-6,5,4142.225
4-6,6,7792.625
4-6,7,4049.7000000000003
4-7,0,5386.55
4-7,1,5998.85
4-7,2,6257.174999999999
4-7,3,5643.049999999999
4-7,4,4200.950000000001
4-7,5,6035.25
4-7,6,7270.825000000001
4-7,7,4704.824999999999
5-6,0,4106.325
5-6,1,3264.2749999999996
5-6,2,5619.85
5-6,3,5955.650000000001
5-6,4,6098.7
5-6,5,4162.275
5-6,6,7463.65
5-6,7,6032.950000000001
5-7,0,4652.5
5-7,1,4086.8
5-7,2,6433.299999999999
5-7,3,6217.65
5-7,4,4027.85
5-7,5,6156.975
5-7,6,5085.75
5-7,7,6142.35
6-7,0,4098.65
6-7,1,2435.65
6-7,2,6079.950000000001
6-7,3,3924.625
6-7,4,2392.3
6-7,5,2385.3
6-7,6,8453.05
6-7,7,9161.474999999999
