Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1,8568.7,9280.86666667,4111.96666667,4107.36666667,5955.06666667,3887.5,2436.33333333,2430.96666667
0-2,5899.4,3768.7,7756.96666667,5198.06666667,5975.73333333,5995.43333333,4748.2,4196.8
0-3,4714.96666667,6068.56666667,7349.23333333,7427.73333333,6027.26666667,5331.7,4506.66666667,4060.83333333
0-4,6063.2,6154.33333333,6275.13333333,5816.0,6032.0,4753.06666667,5154.86666667,3970.3
0-5,5408.83333333,4637.13333333,6451.13333333,6228.13333333,6017.26666667,6877.0,6259.66666667,3634.66666667
0-6,7910.16666667,4120.33333333,6158.46666667,5567.16666667,4686.3,4185.9,6028.36666667,3784.2
0-7,6878.5,6164.23333333,8177.46666667,5609.36666667,3434.5,4976.73333333,6211.13333333,4228.0
1-2,6052.83333333,4179.86666667,6783.73333333,7637.26666667,6010.63333333,5994.73333333,3467.8,5133.83333333
1-3,3814.56666667,6044.56666667,5129.5,7134.86666667,6016.93333333,5143.73333333,3422.5,3397.96666667
1-4,6047.86666667,6243.46666667,5413.2,6170.23333333,6886.06666667,4780.5,3697.9,3427.1
1-5,4113.16666667,4633.9,7619.4,5131.43333333,6006.66666667,5989.33333333,4288.86666667,5987.9
1-6,7323.76666667,4803.53333333,5411.86666667,5362.76666667,4695.96666667,4143.03333333,4837.0,6162.73333333
1-7,4935.5,6326.7,6010.1,6109.3,3427.5,4731.76666667,3972.9,6296.66666667
2-3,2355.63333333,2375.36666667,8511.43333333,9272.4,6037.5,6974.03333333,2396.4,2373.53333333
2-4,4479.16666667,3434.13333333,6215.63333333,6219.86666667,7058.06666667,8593.73333333,6167.43333333,4145.46666667
2-5,3877.0,3095.53333333,7497.56666667,6210.5,6175.33333333,8481.1,5394.26666667,4661.7
2-6,4902.4,3775.9,6082.0,4493.63333333,4730.7,4176.46666667,6965.36666667,6180.36666667
2-7,6027.4,3430.76666667,7863.26666667,4975.26666667,3440.06666667,6021.56666667,6098.3,6096.03333333
3-4,3419.86666667,4641.36666667,6180.13333333,5647.43333333,6102.2,7657.13333333,4124.1,4037.76666667
3-5,3074.3,4030.13333333,8617.26666667,6178.66666667,6119.03333333,7831.46666667,4729.8,3406.3
3-6,3614.13333333,4184.56666667,6105.96666667,6078.2,4719.1,3757.16666667,4703.33333333,4096.06666667
3-7,4020.86666667,4647.56666667,7311.9,7319.13333333,3484.66666667,6060.96666667,4731.16666667,4699.7
4-5,2383.83333333,2403.73333333,5689.8,4749.6,8503.16666667,9255.96666667,4138.16666667,2406.9
4-6,6100.5,3637.53333333,6081.53333333,5039.96666667,5901.96666667,4137.2,7890.7,4058.03333333
4-7,5406.33333333,5971.46666667,6271.96666667,5674.86666667,4773.93333333,6004.63333333,7310.6,4736.26666667
5-6,4080.9,3577.96666667,5666.7,6014.6,6110.46666667,4722.23333333,7557.56666667,6002.16666667
5-7,4690.6,4144.16666667,6443.76666667,6224.73333333,3925.53333333,6178.16666667,5115.7,6170.8
6-7,4161.66666667,2439.83333333,6166.73333333,3918.7,2402.3,2379.63333333,8582.13333333,9292.03333333
