Number of threads: 
Job ID: 2464
Machine: batman 

/home/jlenis/.bashrc: line 19: .bash_profile: No such file or directory
/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,4749050,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.007,45548470,22.12,1.66,38615.276
8,64,4096,8192,8192,8192,1,1,4749050,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.005,45437979,22.12,1.65,38709.177
8,64,4096,8192,8192,8192,1,1,4749050,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.003,45367709,22.12,1.65,38769.133
8,64,4096,8192,8192,8192,1,1,4749050,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.009,45619371,22.12,1.66,38555.261
8,64,4096,8192,8192,8192,1,1,4749050,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.007,45537199,22.12,1.66,38624.834
8,64,4096,8192,8192,8192,1,1,4744259,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,45234923,22.12,1.65,38843.712
8,64,4096,8192,8192,8192,1,1,4744259,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,45228393,22.12,1.65,38849.321
8,64,4096,8192,8192,8192,1,1,4744259,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.009,45623671,22.12,1.66,38512.735
8,64,4096,8192,8192,8192,1,1,4744259,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.002,45291344,22.12,1.65,38795.324
8,64,4096,8192,8192,8192,1,1,4744259,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,45231207,22.12,1.65,38846.904
8,64,4096,8192,8192,8192,1,1,4750015,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.002,45286853,22.12,1.65,38846.245
8,64,4096,8192,8192,8192,1,1,4750015,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.002,45289412,22.12,1.65,38844.050
8,64,4096,8192,8192,8192,1,1,4750015,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.034,46745593,22.12,1.70,37634.011
8,64,4096,8192,8192,8192,1,1,4750015,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.024,46284320,22.12,1.68,38009.075
8,64,4096,8192,8192,8192,1,1,4750015,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.046,47267439,22.12,1.72,37218.521
8,64,4096,8192,8192,8192,1,1,2810883,25,none,5,random,1,local,0,1,"0:0",128,128,1.001,45262580,22.12,2.78,23000.097
8,64,4096,8192,8192,8192,1,1,2810883,25,none,5,random,1,local,0,1,"0:0",128,128,1.001,45264762,22.12,2.78,22998.988
8,64,4096,8192,8192,8192,1,1,2810883,25,none,5,random,1,local,0,1,"0:0",128,128,1.001,45265584,22.12,2.78,22998.570
8,64,4096,8192,8192,8192,1,1,2810883,25,none,5,random,1,local,0,1,"0:0",128,128,1.001,45262716,22.12,2.78,23000.028
8,64,4096,8192,8192,8192,1,1,2810883,25,none,5,random,1,local,0,1,"0:0",128,128,1.001,45258470,22.12,2.78,23002.186
