Number of threads: 
Job ID: 3113
Machine: penguin 

/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,4754346,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.002,43026329,23.28,1.65,38878.214
8,64,4096,8192,8192,8192,1,1,4754346,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,43006199,23.28,1.65,38896.411
8,64,4096,8192,8192,8192,1,1,4754346,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.002,43035417,23.28,1.65,38870.003
8,64,4096,8192,8192,8192,1,1,4754346,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,43007262,23.28,1.65,38895.450
8,64,4096,8192,8192,8192,1,1,4754346,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.002,43018064,23.28,1.65,38885.683
8,64,4096,8192,8192,8192,1,1,4759612,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.005,37200433,27.01,1.65,38807.474
8,64,4096,8192,8192,8192,1,1,4759612,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.004,37165156,27.01,1.65,38844.310
8,64,4096,8192,8192,8192,1,1,4759612,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.004,37184978,27.01,1.65,38823.603
8,64,4096,8192,8192,8192,1,1,4759612,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.004,37164617,27.01,1.65,38844.873
8,64,4096,8192,8192,8192,1,1,4759612,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.004,37191075,27.01,1.65,38817.238
8,64,4096,8192,8192,8192,1,1,4759336,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.005,35987195,27.94,1.65,38776.351
8,64,4096,8192,8192,8192,1,1,4759336,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.005,35976486,27.94,1.65,38787.892
8,64,4096,8192,8192,8192,1,1,4759336,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.004,35931240,27.94,1.65,38836.736
8,64,4096,8192,8192,8192,1,1,4759336,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.004,35939292,27.94,1.65,38828.034
8,64,4096,8192,8192,8192,1,1,4759336,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.004,35936420,27.94,1.65,38831.138
