Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1-2-3,4601.43333333,4623.83333333,6652.23333333,6163.56666667,7025.9,5629.5,2833.23333333,3360.86666667
0-1-2-4,7452.03333333,5766.66666667,6670.6,6249.3,7595.03333333,5315.43333333,4108.56666667,3900.9
0-1-2-5,6927.53333333,5401.23333333,7167.13333333,6010.9,7147.83333333,6097.0,4756.36666667,4796.13333333
0-1-2-6,7471.0,5404.63333333,6650.56666667,6384.5,6885.9,5290.33333333,4575.46666667,4808.26666667
0-1-2-7,6407.63333333,5749.1,6865.76666667,6391.0,5651.86666667,5569.16666667,4680.46666667,4814.26666667
0-1-3-4,5264.96666667,7290.46666667,6255.63333333,6707.53333333,7602.46666667,5340.9,3791.56666667,3903.16666667
0-1-3-5,4718.1,6295.46666667,6049.43333333,6800.3,7132.13333333,6631.73333333,4702.0,4785.0
0-1-3-6,5316.1,5047.23333333,6272.23333333,6629.36666667,6902.76666667,5228.43333333,4514.53333333,4374.6
0-1-3-7,5801.06666667,7309.86666667,6269.16666667,6620.53333333,5657.36666667,6172.93333333,4539.7,4805.4
0-1-4-5,4644.66666667,4084.16666667,6529.5,6497.4,7648.86666667,5106.76666667,4777.93333333,3780.66666667
0-1-4-6,7682.96666667,5728.0,6510.76666667,6187.96666667,7293.9,4991.23333333,4617.73333333,4383.6
0-1-4-7,6635.26666667,7433.3,6505.63333333,6187.06666667,6086.63333333,5251.63333333,4720.56666667,3956.36666667
0-1-5-6,6759.3,5394.9,6502.8,6217.93333333,6966.96666667,5563.86666667,4838.9,4700.9
0-1-5-7,5653.8,6080.3,6793.96666667,6215.06666667,5476.26666667,6577.53333333,4904.7,4818.56666667
0-1-6-7,6665.76666667,4260.0,6511.4,5701.16666667,4071.86666667,3718.16666667,4651.13333333,4335.16666667
0-2-3-4,4507.1,4723.0,7799.13333333,7465.7,7644.23333333,5508.53333333,4226.2,4789.73333333
0-2-3-5,4437.1,4575.93333333,7965.13333333,6428.2,7170.13333333,7065.1,4227.23333333,4294.23333333
