Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1-2-3,4647.6,4302.7,6654.03333333,6215.93333333,7030.36666667,5673.8,2845.36666667,3383.66666667
0-1-2-4,7467.9,5760.46666667,6699.66666667,6258.6,7608.76666667,5367.96666667,4094.06666667,3917.5
0-1-2-5,6920.16666667,5428.83333333,7189.2,6025.1,7167.16666667,6150.33333333,4774.0,4780.2
0-1-2-6,7491.2,5438.66666667,6637.93333333,6433.96666667,6916.13333333,5346.2,4199.0,4799.23333333
0-1-2-7,6086.13333333,5759.33333333,6865.5,6403.53333333,5668.26666667,5625.93333333,4698.43333333,4807.43333333
0-1-3-4,5297.06666667,7288.63333333,6269.7,6730.16666667,7613.1,5359.56666667,3825.0,3912.66666667
0-1-3-5,4758.36666667,6303.76666667,6061.7,6806.43333333,7161.5,6658.36666667,4716.16666667,4786.7
0-1-3-6,5324.66666667,5054.73333333,6279.66666667,6650.86666667,6909.8,5256.33333333,4506.3,4385.1
0-1-3-7,5819.86666667,7331.3,6268.96666667,6638.03333333,5660.33333333,6214.26666667,4535.26666667,4777.3
0-1-4-5,4686.33333333,4086.86666667,6542.8,6526.0,7695.13333333,5500.6,4796.73333333,3776.23333333
0-1-4-6,7644.0,5720.1,6497.66666667,6225.3,7303.4,5026.73333333,4614.3,4399.0
0-1-4-7,6630.2,7460.23333333,6517.7,6235.23333333,6090.93333333,5306.76666667,4714.4,4312.5
0-1-5-6,6796.06666667,5409.83333333,6497.23333333,6225.1,6976.16666667,5593.86666667,4798.53333333,4708.96666667
0-1-5-7,5663.43333333,6138.43333333,6801.03333333,6230.06666667,5476.46666667,6640.63333333,4855.66666667,4842.46666667
0-1-6-7,6644.2,4275.63333333,6515.66666667,5719.96666667,4066.0,3691.5,4671.33333333,4321.86666667
0-2-3-4,4516.1,4741.66666667,7781.4,7507.26666667,7631.0,5520.16666667,4236.36666667,4765.13333333
