socket,node,bw
0-1-2-3,0,4582.3
0-1-2-3,1,4602.525
0-1-2-3,2,6582.724999999999
0-1-2-3,3,6120.849999999999
0-1-2-3,4,6918.725
0-1-2-3,5,5580.1
0-1-2-3,6,2834.375
0-1-2-3,7,3356.6
0-1-2-4,0,7355.675
0-1-2-4,1,5713.4
0-1-2-4,2,6623.249999999999
0-1-2-4,3,6200.9
0-1-2-4,4,7470.800000000001
0-1-2-4,5,5278.15
0-1-2-4,6,4109.7
0-1-2-4,7,3906.4249999999997
0-1-2-5,0,6872.45
0-1-2-5,1,5361.825
0-1-2-5,2,7084.575
0-1-2-5,3,5943.225
0-1-2-5,4,7033.95
0-1-2-5,5,6037.375
0-1-2-5,6,4750.675
0-1-2-5,7,4792.325
0-1-2-6,0,7373.6
0-1-2-6,1,5381.15
0-1-2-6,2,6599.275
0-1-2-6,3,6322.450000000001
0-1-2-6,4,6808.575000000001
0-1-2-6,5,5258.650000000001
0-1-2-6,6,4553.925
0-1-2-6,7,4779.35
0-1-2-7,0,6372.45
0-1-2-7,1,5696.174999999999
0-1-2-7,2,6809.95
0-1-2-7,3,6329.525
0-1-2-7,4,5617.875
0-1-2-7,5,5525.65
0-1-2-7,6,4647.474999999999
0-1-2-7,7,4810.45
0-1-3-4,0,5224.724999999999
0-1-3-4,1,7175.900000000001
0-1-3-4,2,6206.075
0-1-3-4,3,6661.1
0-1-3-4,4,7487.449999999999
0-1-3-4,5,5308.05
0-1-3-4,6,3794.85
0-1-3-4,7,3908.4500000000003
0-1-3-5,0,4713.4
0-1-3-5,1,6260.224999999999
0-1-3-5,2,5978.275
0-1-3-5,3,6744.025000000001
0-1-3-5,4,7023.025
0-1-3-5,5,6542.5
0-1-3-5,6,4703.174999999999
0-1-3-5,7,4788.45
0-1-3-6,0,5271.425
0-1-3-6,1,5019.799999999999
0-1-3-6,2,6220.275000000001
0-1-3-6,3,6558.775
0-1-3-6,4,6819.174999999999
0-1-3-6,5,5190.925
0-1-3-6,6,4501.8
0-1-3-6,7,4399.975
0-1-3-7,0,5777.75
0-1-3-7,1,7197.525000000001
0-1-3-7,2,6217.525000000001
0-1-3-7,3,6551.375
0-1-3-7,4,5632.275000000001
0-1-3-7,5,6097.75
0-1-3-7,6,4511.175
0-1-3-7,7,4788.200000000001
0-1-4-5,0,4616.375
0-1-4-5,1,4067.9750000000004
0-1-4-5,2,6452.974999999999
0-1-4-5,3,6419.0
0-1-4-5,4,7535.825000000001
0-1-4-5,5,5080.325
0-1-4-5,6,4773.375
0-1-4-5,7,3783.0249999999996
0-1-4-6,0,7571.85
0-1-4-6,1,5678.125
0-1-4-6,2,6438.875
0-1-4-6,3,6109.450000000001
0-1-4-6,4,7222.85
0-1-4-6,5,4980.975
0-1-4-6,6,4599.424999999999
0-1-4-6,7,4391.925
0-1-4-7,0,6564.8
0-1-4-7,1,7352.35
0-1-4-7,2,6440.75
0-1-4-7,3,6107.725
0-1-4-7,4,6046.299999999999
0-1-4-7,5,5221.15
0-1-4-7,6,4684.975
0-1-4-7,7,3944.025
0-1-5-6,0,6664.475
0-1-5-6,1,5352.6
0-1-5-6,2,6427.575
0-1-5-6,3,6149.450000000001
0-1-5-6,4,6879.475
0-1-5-6,5,5536.75
0-1-5-6,6,4826.0
0-1-5-6,7,4672.425
0-1-5-7,0,5640.975
0-1-5-7,1,6030.775
0-1-5-7,2,6699.85
0-1-5-7,3,6149.950000000001
0-1-5-7,4,5432.4
0-1-5-7,5,6497.099999999999
0-1-5-7,6,4904.375
0-1-5-7,7,4822.700000000001
0-1-6-7,0,6589.375
0-1-6-7,1,4243.224999999999
0-1-6-7,2,6444.124999999999
0-1-6-7,3,5638.675
0-1-6-7,4,4073.075
0-1-6-7,5,3720.25
0-1-6-7,6,4631.9
0-1-6-7,7,4316.349999999999
0-2-3-4,0,4490.1
0-2-3-4,1,4704.15
0-2-3-4,2,7680.900000000001
0-2-3-4,3,7375.924999999999
0-2-3-4,4,7520.174999999999
0-2-3-4,5,5454.525
0-2-3-4,6,4217.875
0-2-3-4,7,4787.925
0-2-3-5,0,4425.175
0-2-3-5,1,4553.2
0-2-3-5,2,7835.699999999999
0-2-3-5,3,6377.499999999999
0-2-3-5,4,7058.125
0-2-3-5,5,6964.025
0-2-3-5,6,4195.125
0-2-3-5,7,4277.675
0-2-3-6,0,4491.700000000001
0-2-3-6,1,4312.575
0-2-3-6,2,7668.6
0-2-3-6,3,6666.1
0-2-3-6,4,6841.200000000001
0-2-3-6,5,5515.6
0-2-3-6,6,4611.25
0-2-3-6,7,4741.9
0-2-3-7,0,4301.225
