processor,node,bw
0-2-6-7,1,30067.360000000004
0-2-6-7,2,48419.36
0-2-6-7,3,34848.56
0-2-6-7,4,25912.800000000003
0-2-6-7,5,27213.76
0-2-6-7,6,39554.32000000001
0-2-6-7,7,40065.44
0-3-4-5,1,28082.640000000003
0-3-4-5,2,25888.320000000003
0-3-4-5,3,25394.16
0-3-4-5,4,26204.8
0-3-4-5,5,25890.800000000003
0-3-4-5,6,28767.120000000003
0-3-4-5,7,29297.440000000002
0-3-4-6,1,37206.8
0-3-4-6,2,36654.72
0-3-4-6,3,35811.52
0-3-4-6,4,44000.64000000001
0-3-4-6,5,39241.36
0-3-4-6,6,40884.4
0-3-4-6,7,31935.120000000003
0-3-4-7,1,38637.52
0-3-4-7,2,38734.64000000001
0-3-4-7,3,37848.719999999994
0-3-4-7,4,41246.56
0-3-4-7,5,45439.119999999995
0-3-4-7,6,44803.36
0-3-4-7,7,33866.0
0-3-5-6,1,35451.6
0-3-5-6,2,35466.48
0-3-5-6,3,34766.88
0-3-5-6,4,38316.719999999994
0-3-5-6,5,37406.64
0-3-5-6,6,42163.52
0-3-5-6,7,40432.16
0-3-5-7,1,35268.4
0-3-5-7,2,35993.76
0-3-5-7,3,35391.36
0-3-5-7,4,31279.039999999997
0-3-5-7,5,33737.52000000001
0-3-5-7,6,38282.64000000001
0-3-5-7,7,33894.560000000005
0-3-6-7,1,29907.36
0-3-6-7,2,38961.6
0-3-6-7,3,34402.56
0-3-6-7,4,25716.960000000003
0-3-6-7,5,28883.280000000006
0-3-6-7,6,36960.32
0-3-6-7,7,39017.6
0-4-5-6,1,28076.320000000003
0-4-5-6,2,30413.920000000002
0-4-5-6,3,30154.4
0-4-5-6,4,26751.68
0-4-5-6,5,25863.04
0-4-5-6,6,30260.319999999996
0-4-5-6,7,29569.36
0-4-5-7,1,27593.68
0-4-5-7,2,30392.4
0-4-5-7,3,30125.520000000004
0-4-5-7,4,23701.68
0-4-5-7,5,24288.4
0-4-5-7,6,28648.96
0-4-5-7,7,28198.960000000006
0-4-6-7,1,29963.440000000002
0-4-6-7,2,47751.920000000006
0-4-6-7,3,43167.200000000004
0-4-6-7,4,30018.96
0-4-6-7,5,29475.520000000004
0-4-6-7,6,37739.12
0-4-6-7,7,34059.920000000006
0-5-6-7,1,29921.68
0-5-6-7,2,44478.48
0-5-6-7,3,43104.8
0-5-6-7,4,29280.560000000005
0-5-6-7,5,28918.88
0-5-6-7,6,34306.0
0-5-6-7,7,36353.44
1-2-3-4,1,27529.36
1-2-3-4,2,29494.800000000003
1-2-3-4,3,30426.320000000003
1-2-3-4,4,29129.2
1-2-3-4,5,30082.96
1-2-3-4,6,24370.800000000003
1-2-3-4,7,29187.28
1-2-3-5,1,26842.72
1-2-3-5,2,28552.880000000005
1-2-3-5,3,29614.239999999998
1-2-3-5,4,28713.519999999997
1-2-3-5,5,28792.719999999998
1-2-3-5,6,29173.36
1-2-3-5,7,30156.4
1-2-3-6,1,25730.559999999998
1-2-3-6,2,29225.440000000002
1-2-3-6,3,30206.0
1-2-3-6,4,29744.4
1-2-3-6,5,29913.68
1-2-3-6,6,25226.320000000003
1-2-3-6,7,28977.120000000003
1-2-3-7,1,25528.4
1-2-3-7,2,27576.72
1-2-3-7,3,28522.08
1-2-3-7,4,26230.96
1-2-3-7,5,27426.4
1-2-3-7,6,29044.640000000003
1-2-3-7,7,29896.880000000005
1-2-4-5,1,24558.480000000003
1-2-4-5,2,29439.040000000005
1-2-4-5,3,29694.0
1-2-4-5,4,30000.719999999998
1-2-4-5,5,29747.28
1-2-4-5,6,30107.039999999997
1-2-4-5,7,28670.800000000003
1-2-4-6,1,36014.64000000001
1-2-4-6,2,48850.16
1-2-4-6,3,49899.76
1-2-4-6,4,53646.0
1-2-4-6,5,41290.08
1-2-4-6,6,36490.08
1-2-4-6,7,40523.12
1-2-4-7,1,35309.840000000004
1-2-4-7,2,44710.72
1-2-4-7,3,48053.44
1-2-4-7,4,47401.600000000006
1-2-4-7,5,48356.4
1-2-4-7,6,47274.24
1-2-4-7,7,44346.32
1-2-5-6,1,34514.96
1-2-5-6,2,45392.16
1-2-5-6,3,45892.32
1-2-5-6,4,47186.72
1-2-5-6,5,43693.68000000001
1-2-5-6,6,40043.28
1-2-5-6,7,46694.16
1-2-5-7,1,33801.12
1-2-5-7,2,39352.24
1-2-5-7,3,39266.16
1-2-5-7,4,35703.36
1-2-5-7,5,37134.08000000001
1-2-5-7,6,41905.44
1-2-5-7,7,43457.840000000004
1-2-6-7,1,28348.96
1-2-6-7,2,43852.96
1-2-6-7,3,34945.920000000006
1-2-6-7,4,26778.08
1-2-6-7,5,27006.160000000003
1-2-6-7,6,41498.64
1-2-6-7,7,45784.0
1-3-4-5,1,28277.440000000002
1-3-4-5,2,29414.960000000006
1-3-4-5,3,28520.320000000003
1-3-4-5,4,29249.68
1-3-4-5,5,29603.68
1-3-4-5,6,29675.76
1-3-4-5,7,28873.040000000005
1-3-4-6,1,40646.56
1-3-4-6,2,46588.24
1-3-4-6,3,46449.119999999995
1-3-4-6,4,47718.32000000001
1-3-4-6,5,43989.36
1-3-4-6,6,34888.0
1-3-4-6,7,36263.119999999995
1-3-4-7,1,36567.200000000004
1-3-4-7,2,40274.4
1-3-4-7,3,39926.72
1-3-4-7,4,35759.200000000004
1-3-4-7,5,40461.28
1-3-4-7,6,44205.28
1-3-4-7,7,42598.0
1-3-5-6,1,37894.560000000005
1-3-5-6,2,43992.8
1-3-5-6,3,42908.96
1-3-5-6,4,44350.8
1-3-5-6,5,43677.68000000001
1-3-5-6,6,38796.0
1-3-5-6,7,45206.48000000001
1-3-5-7,1,32969.280000000006
1-3-5-7,2,33204.0
1-3-5-7,3,33829.28
1-3-5-7,4,30263.760000000006
1-3-5-7,5,31374.96
1-3-5-7,6,39020.8
1-3-5-7,7,36655.6
1-3-6-7,1,28865.600000000002
1-3-6-7,2,40707.68
1-3-6-7,3,40361.44
1-3-6-7,4,25355.36
1-3-6-7,5,28208.4
1-3-6-7,6,39826.64000000001
1-3-6-7,7,42266.880000000005
1-4-5-6,1,26528.96
1-4-5-6,2,30200.640000000003
1-4-5-6,3,30021.839999999997
1-4-5-6,4,30266.559999999998
1-4-5-6,5,29326.239999999998
1-4-5-6,6,30360.48
1-4-5-6,7,29863.280000000006
1-4-5-7,1,27916.96
1-4-5-7,2,30236.800000000003
1-4-5-7,3,30235.36
1-4-5-7,4,25861.120000000003
1-4-5-7,5,29993.600000000002
1-4-5-7,6,30029.040000000005
1-4-5-7,7,26324.08
1-4-6-7,1,28276.240000000005
1-4-6-7,2,47992.48
1-4-6-7,3,47297.68
1-4-6-7,4,30266.0
1-4-6-7,5,29185.760000000006
1-4-6-7,6,41190.8
1-4-6-7,7,44532.08
1-5-6-7,1,27696.320000000003
1-5-6-7,2,44988.72
1-5-6-7,3,44952.08
1-5-6-7,4,29589.600000000002
1-5-6-7,5,28409.76
1-5-6-7,6,39654.72
1-5-6-7,7,44899.28
2-3-4-5,1,18276.08
2-3-4-5,2,18376.48
2-3-4-5,3,18001.920000000002
2-3-4-5,4,18541.2
2-3-4-5,5,18278.48
2-3-4-5,6,21300.960000000003
2-3-4-5,7,24683.600000000002
2-3-4-6,1,24731.440000000002
2-3-4-6,2,25819.2
2-3-4-6,3,25694.800000000003
2-3-4-6,4,25704.559999999998
2-3-4-6,5,24714.640000000003
2-3-4-6,6,29486.559999999998
2-3-4-6,7,26663.440000000002
2-3-4-7,1,25543.920000000002
2-3-4-7,2,27512.800000000003
2-3-4-7,3,26866.480000000007
2-3-4-7,4,25707.68
2-3-4-7,5,27031.600000000002
2-3-4-7,6,29746.640000000003
2-3-4-7,7,29432.800000000003
2-3-5-6,1,24339.36
2-3-5-6,2,24622.960000000003
2-3-5-6,3,24639.840000000004
2-3-5-6,4,24766.800000000003
2-3-5-6,5,23786.960000000006
2-3-5-6,6,29583.44
2-3-5-6,7,29602.4
2-3-5-7,1,25228.16
2-3-5-7,2,26876.080000000005
2-3-5-7,3,26379.76
2-3-5-7,4,24892.56
2-3-5-7,5,26281.440000000002
2-3-5-7,6,29489.440000000002
2-3-5-7,7,29470.16
2-3-6-7,1,23286.4
2-3-6-7,2,26879.840000000004
2-3-6-7,3,25652.56
2-3-6-7,4,24183.840000000004
2-3-6-7,5,25250.480000000003
2-3-6-7,6,29316.72
2-3-6-7,7,28969.840000000004
2-4-5-6,1,28011.36
2-4-5-6,2,27916.72
2-4-5-6,3,29673.76
2-4-5-6,4,29367.920000000002
2-4-5-6,5,29374.239999999998
2-4-5-6,6,29489.600000000002
2-4-5-6,7,29802.72
2-4-5-7,1,25660.72
2-4-5-7,2,29238.48
2-4-5-7,3,29590.800000000003
2-4-5-7,4,25766.72
2-4-5-7,5,29126.640000000003
2-4-5-7,6,29067.76
2-4-5-7,7,28444.800000000003
2-4-6-7,1,29668.16
2-4-6-7,2,45268.240000000005
2-4-6-7,3,36070.32
2-4-6-7,4,30357.440000000002
2-4-6-7,5,30415.679999999993
2-4-6-7,6,45531.92
2-4-6-7,7,40562.32000000001
2-5-6-7,1,29500.0
2-5-6-7,2,42654.56
2-5-6-7,3,36743.119999999995
2-5-6-7,4,29687.840000000004
2-5-6-7,5,29837.440000000002
2-5-6-7,6,41310.96
2-5-6-7,7,41808.880000000005
3-4-5-6,1,26303.600000000002
3-4-5-6,2,24641.28
3-4-5-6,3,23144.559999999998
3-4-5-6,4,25228.320000000003
3-4-5-6,5,25153.520000000004
3-4-5-6,6,27907.680000000008
3-4-5-6,7,27569.440000000002
3-4-5-7,1,27104.320000000003
3-4-5-7,2,27710.240000000005
3-4-5-7,3,27029.040000000005
3-4-5-7,4,23596.0
3-4-5-7,5,28259.600000000002
3-4-5-7,6,29141.120000000003
3-4-5-7,7,27496.800000000003
3-4-6-7,1,28757.2
3-4-6-7,2,41098.48
3-4-6-7,3,38898.8
3-4-6-7,4,30123.760000000006
3-4-6-7,5,30080.96
3-4-6-7,6,44421.36000000001
3-4-6-7,7,40552.4
3-5-6-7,1,28253.520000000004
3-5-6-7,2,39650.32000000001
3-5-6-7,3,38131.04
3-5-6-7,4,29422.0
3-5-6-7,5,28472.72
3-5-6-7,6,41709.840000000004
3-5-6-7,7,42710.0
4-5-6-7,1,20226.800000000003
4-5-6-7,2,26670.240000000005
4-5-6-7,3,28035.2
4-5-6-7,4,26360.240000000005
4-5-6-7,5,30055.040000000005
4-5-6-7,6,25527.28
4-5-6-7,7,24420.96
