Sockets\Mem_Nodes,0,1,2,3
0-1,6399.7,7184.424999999999,5217.675,5017.2
0-2,5211.45,5366.95,5268.875,5409.15
0-3,6894.375,4602.875,4752.625,6748.425
1-2,4540.975,6694.124999999999,6627.3,4832.925
1-3,5254.0,5819.95,5308.425,6191.1
2-3,5163.775,4973.825,6359.425,6767.05
