processor,node,bw
0-1,1,13948.25
0-1,2,10231.125
0-1,3,10683.175000000001
0-2,1,10705.55
0-2,2,11423.85
0-2,3,10844.65
0-3,1,9275.4
0-3,2,9423.375
0-3,3,14077.475
1-2,1,9609.025000000001
1-2,2,9663.6
1-2,3,9244.25
1-3,1,10619.25
1-3,2,10539.325
1-3,3,10807.975
2-3,1,9597.95
2-3,2,10315.425
2-3,3,10134.325
