processor,node,bw
0-1,0,6800.8
0-1,1,6704.775
0-1,2,4976.725
0-1,3,5001.950000000001
0-2,0,5644.2
0-2,1,5651.424999999999
0-2,2,5664.050000000001
0-2,3,5646.174999999999
0-3,0,6809.675
0-3,1,4668.325000000001
0-3,2,4680.125
0-3,3,6781.15
1-2,0,4360.275
1-2,1,6879.525
1-2,2,6883.1
1-2,3,4813.849999999999
1-3,0,6855.375
1-3,1,5704.4
1-3,2,5663.049999999999
1-3,3,5657.0
2-3,0,4986.925
2-3,1,4960.275
2-3,2,6777.375
2-3,3,6856.025
