tid,core,node,bw
0,0,0,2044.58
1,4,0,2044.61
2,8,0,2044.44
3,12,0,2044.51
4,16,0,2044.37
5,20,0,2044.4
6,24,0,2044.48
7,28,0,2044.55
0,0,1,971.182
1,4,1,971.182
2,8,1,971.182
3,12,1,971.182
4,16,1,971.182
5,20,1,971.182
6,24,1,971.182
7,28,1,971.182
0,0,2,781.473
1,4,2,781.473
2,8,2,781.473
3,12,2,781.473
4,16,2,781.473
5,20,2,781.473
6,24,2,781.473
7,28,2,781.473
0,0,3,992.434
1,4,3,992.434
2,8,3,992.434
3,12,3,992.434
4,16,3,992.434
5,20,3,992.434
6,24,3,992.434
7,28,3,992.433
