tid,core,node,bw
0,0,0,525.464
1,1,0,378.336
2,2,0,377.569
3,3,0,379.477
4,4,0,537.865
5,5,0,378.518
6,6,0,377.836
7,7,0,377.809
8,8,0,535.418
9,9,0,377.76
10,10,0,380.852
11,11,0,380.22
12,12,0,542.339
13,13,0,378.918
14,14,0,377.569
15,15,0,380.98
16,16,0,530.297
17,17,0,378.918
18,18,0,377.569
19,19,0,380.22
20,20,0,537.857
21,21,0,379.626
22,22,0,379.049
23,23,0,379.011
24,24,0,530.297
25,25,0,377.76
26,26,0,379.049
27,27,0,379.01
28,28,0,542.339
29,29,0,378.918
30,30,0,379.049
31,31,0,380.22
32,32,0,537.86
33,33,0,378.918
34,34,0,377.569
35,35,0,380.22
36,36,0,537.865
37,37,0,377.76
38,38,0,380.852
39,39,0,378.771
40,40,0,541.987
41,41,0,377.76
42,42,0,377.569
43,43,0,380.22
44,44,0,542.339
45,45,0,378.918
46,46,0,377.569
47,47,0,380.22
48,48,0,527.646
49,49,0,378.918
50,50,0,376.728
51,51,0,380.22
52,52,0,534.606
53,53,0,377.76
54,54,0,379.049
55,55,0,380.22
56,56,0,525.464
57,57,0,377.76
58,58,0,377.569
59,59,0,380.22
60,60,0,542.339
61,61,0,377.761
62,62,0,379.049
63,63,0,378.771
0,0,1,368.562
1,1,1,524.711
2,2,1,375.089
3,3,1,367.961
4,4,1,369.418
5,5,1,527.646
6,6,1,371.166
7,7,1,367.961
8,8,1,372.004
9,9,1,527.046
10,10,1,371.166
11,11,1,367.961
12,12,1,371.079
13,13,1,530.293
14,14,1,369.015
15,15,1,367.961
16,16,1,369.418
17,17,1,499.854
18,18,1,369.015
19,19,1,367.961
20,20,1,372.003
21,21,1,501.699
22,22,1,370.96
23,23,1,368.343
24,24,1,367.105
25,25,1,530.293
26,26,1,371.166
27,27,1,367.731
28,28,1,369.417
29,29,1,476.611
30,30,1,371.166
31,31,1,368.343
32,32,1,369.418
33,33,1,530.293
34,34,1,375.089
35,35,1,367.961
36,36,1,372.004
37,37,1,531.279
38,38,1,371.166
39,39,1,367.961
40,40,1,372.004
41,41,1,527.046
42,42,1,371.166
43,43,1,367.961
44,44,1,371.079
45,45,1,530.293
46,46,1,370.96
47,47,1,368.662
48,48,1,369.418
49,49,1,492.819
50,50,1,368.222
51,51,1,367.961
52,52,1,369.21
53,53,1,501.699
54,54,1,370.96
55,55,1,368.343
56,56,1,369.417
57,57,1,530.293
58,58,1,371.166
59,59,1,367.961
60,60,1,369.417
61,61,1,480.119
62,62,1,371.166
63,63,1,368.343
0,0,2,359.836
1,1,2,360.319
2,2,2,497.394
3,3,2,363.436
4,4,2,360.502
5,5,2,363.377
6,6,2,497.394
7,7,2,362.086
8,8,2,361.232
9,9,2,363.501
10,10,2,497.394
11,11,2,364.549
12,12,2,360.836
13,13,2,361.24
14,14,2,497.394
15,15,2,362.086
16,16,2,360.836
17,17,2,363.501
18,18,2,499.349
19,19,2,364.549
20,20,2,363.607
21,21,2,360.319
22,22,2,493.809
23,23,2,363.436
24,24,2,361.232
25,25,2,363.501
26,26,2,497.394
27,27,2,364.108
28,28,2,361.232
29,29,2,364.436
30,30,2,497.394
31,31,2,364.767
32,32,2,361.232
33,33,2,361.24
34,34,2,497.394
35,35,2,363.2
36,36,2,360.502
37,37,2,363.501
38,38,2,497.394
39,39,2,363.868
40,40,2,363.607
41,41,2,364.436
42,42,2,493.808
43,43,2,364.549
44,44,2,360.836
45,45,2,361.24
46,46,2,504.505
47,47,2,364.549
48,48,2,360.836
49,49,2,364.436
50,50,2,499.349
51,51,2,364.549
52,52,2,363.607
53,53,2,361.24
54,54,2,493.809
55,55,2,364.549
56,56,2,361.232
57,57,2,363.501
58,58,2,497.394
59,59,2,363.868
60,60,2,360.836
61,61,2,364.436
62,62,2,497.394
63,63,2,364.767
0,0,3,406.178
1,1,3,405.983
2,2,3,406.176
3,3,3,496.224
4,4,3,406.757
5,5,3,405.983
6,6,3,406.179
7,7,3,496.224
8,8,3,406.757
9,9,3,405.983
10,10,3,410.786
11,11,3,494.241
12,12,3,406.757
13,13,3,405.983
14,14,3,410.786
15,15,3,499.73
16,16,3,406.757
17,17,3,405.983
18,18,3,406.179
19,19,3,499.066
20,20,3,406.757
21,21,3,405.983
22,22,3,410.785
23,23,3,493.996
24,24,3,406.757
25,25,3,405.983
26,26,3,406.179
27,27,3,486.111
28,28,3,406.757
29,29,3,405.983
30,30,3,411.053
31,31,3,496.224
32,32,3,406.178
33,33,3,405.983
34,34,3,406.179
35,35,3,476.659
36,36,3,406.757
37,37,3,405.983
38,38,3,407.738
39,39,3,496.224
40,40,3,406.757
41,41,3,405.983
42,42,3,410.786
43,43,3,494.241
44,44,3,406.757
45,45,3,406.88
46,46,3,407.738
47,47,3,496.224
48,48,3,406.757
49,49,3,405.983
50,50,3,406.179
51,51,3,496.224
52,52,3,406.757
53,53,3,405.983
54,54,3,410.785
55,55,3,499.73
56,56,3,406.757
57,57,3,406.401
58,58,3,406.179
59,59,3,490.949
60,60,3,406.757
61,61,3,405.983
62,62,3,411.052
63,63,3,499.066
