tid,core,node,bw
0,0,0,1090.91
1,4,0,1090.91
2,8,0,1090.91
3,12,0,1090.91
4,16,0,1090.91
5,20,0,1090.91
6,24,0,1090.91
7,28,0,1090.91
8,32,0,1090.91
9,36,0,1090.91
10,40,0,1090.91
11,44,0,1090.91
12,48,0,1090.91
13,52,0,1090.91
14,56,0,1090.91
15,60,0,1090.91
0,0,1,533.344
1,4,1,533.345
2,8,1,533.344
3,12,1,533.345
4,16,1,533.345
5,20,1,533.344
6,24,1,533.344
7,28,1,533.344
8,32,1,533.345
9,36,1,533.345
10,40,1,533.344
11,44,1,533.345
12,48,1,533.345
13,52,1,533.345
14,56,1,533.345
15,60,1,533.344
0,0,2,432.934
1,4,2,432.934
2,8,2,432.934
3,12,2,432.934
4,16,2,432.934
5,20,2,432.934
6,24,2,432.934
7,28,2,432.934
8,32,2,432.934
9,36,2,432.934
10,40,2,432.934
11,44,2,432.934
12,48,2,432.934
13,52,2,432.934
14,56,2,432.934
15,60,2,432.934
0,0,3,537.349
1,4,3,537.349
2,8,3,537.349
3,12,3,537.349
4,16,3,537.349
5,20,3,537.35
6,24,3,537.349
7,28,3,537.349
8,32,3,537.349
9,36,3,537.349
10,40,3,537.349
11,44,3,537.349
12,48,3,537.35
13,52,3,537.35
14,56,3,537.349
15,60,3,537.349
