tid,core,node,bw
0,0,0,1034.34
1,1,0,590.802
2,2,0,589.859
3,3,0,595.212
4,4,0,1034.33
5,5,0,594.825
6,6,0,590.924
7,7,0,594.54
8,8,0,1034.35
9,9,0,594.187
10,10,0,589.858
11,11,0,590.507
12,12,0,1034.35
13,13,0,591.388
14,14,0,589.859
15,15,0,595.211
16,16,0,1034.33
17,17,0,594.826
18,18,0,590.924
19,19,0,594.54
20,20,0,1034.34
21,21,0,590.801
22,22,0,590.924
23,23,0,595.211
24,24,0,1034.35
25,25,0,590.802
26,26,0,589.857
27,27,0,590.507
28,28,0,1034.35
29,29,0,590.802
30,30,0,591.618
31,31,0,589.366
0,0,1,581.324
1,1,1,985.071
2,2,1,569.69
3,3,1,568.432
4,4,1,586.613
5,5,1,1028.75
6,6,1,569.69
7,7,1,568.981
8,8,1,587.708
9,9,1,1028.76
10,10,1,569.691
11,11,1,568.981
12,12,1,586.052
13,13,1,1028.74
14,14,1,568.79
15,15,1,568.433
16,16,1,587.708
17,17,1,1028.75
18,18,1,569.69
19,19,1,568.982
20,20,1,587.708
21,21,1,1028.77
22,22,1,573.466
23,23,1,568.981
24,24,1,587.708
25,25,1,1019.76
26,26,1,569.691
27,27,1,568.432
28,28,1,587.708
29,29,1,1028.76
30,30,1,569.69
31,31,1,569.83
0,0,2,632.103
1,1,2,639.97
2,2,2,944.98
3,3,2,637.47
4,4,2,632.103
5,5,2,651.934
6,6,2,960.29
7,7,2,631.282
8,8,2,632.103
9,9,2,639.971
10,10,2,972.363
11,11,2,637.47
12,12,2,632.104
13,13,2,639.97
14,14,2,963.696
15,15,2,631.282
16,16,2,632.104
17,17,2,639.97
18,18,2,944.979
19,19,2,631.282
20,20,2,632.104
21,21,2,639.97
22,22,2,960.285
23,23,2,633.281
24,24,2,633.975
25,25,2,639.97
26,26,2,960.284
27,27,2,631.282
28,28,2,632.104
29,29,2,639.97
30,30,2,972.362
31,31,2,633.281
0,0,3,582.924
1,1,3,578.847
2,2,3,578.519
3,3,3,1043.88
4,4,3,578.489
5,5,3,578.046
6,6,3,582.157
7,7,3,1043.88
8,8,3,583.566
9,9,3,582.369
10,10,3,578.519
11,11,3,1043.88
12,12,3,582.924
13,13,3,578.046
14,14,3,578.475
15,15,3,1043.88
16,16,3,582.924
17,17,3,582.369
18,18,3,578.475
19,19,3,1043.88
20,20,3,582.924
21,21,3,583.034
22,22,3,582.157
23,23,3,1043.88
24,24,3,578.526
25,25,3,582.369
26,26,3,583.289
27,27,3,1043.88
28,28,3,582.924
29,29,3,582.369
30,30,3,578.475
31,31,3,1043.88
