tid,core,node,bw
0,0,0,471.678
1,4,0,471.678
2,8,0,475.048
3,12,0,475.051
4,16,0,470.243
5,20,0,470.243
6,24,0,471.678
7,28,0,466.49
8,32,0,466.396
9,36,0,475.051
10,40,0,470.241
11,44,0,475.051
12,48,0,470.243
13,52,0,463.191
14,56,0,468.454
15,60,0,466.222
16,1,0,378.896
17,5,0,378.895
18,9,0,378.895
19,13,0,377.473
20,17,0,378.71
21,21,0,377.475
22,25,0,377.05
23,29,0,376.636
24,33,0,380.24
25,37,0,378.895
26,41,0,378.709
27,45,0,377.05
28,49,0,378.71
29,53,0,378.71
30,57,0,377.05
31,61,0,375.695
32,2,0,373.526
33,6,0,373.525
34,10,0,376.329
35,14,0,373.526
36,18,0,374.682
37,22,0,376.329
38,26,0,373.526
39,30,0,373.525
40,34,0,373.526
41,38,0,373.525
42,42,0,373.524
43,46,0,373.526
44,50,0,376.33
45,54,0,373.526
46,58,0,373.526
47,62,0,373.525
48,3,0,372.81
49,7,0,372.403
50,11,0,375.696
51,15,0,377.103
52,19,0,372.807
53,23,0,372.626
54,27,0,372.627
55,31,0,372.401
56,35,0,372.629
57,39,0,372.403
58,43,0,374.839
59,47,0,377.103
60,51,0,372.403
61,55,0,372.401
62,59,0,373.26
63,63,0,372.808
0,0,1,396.115
1,4,1,396.115
2,8,1,396.115
3,12,1,396.115
4,16,1,396.115
5,20,1,396.525
6,24,1,396.526
7,28,1,396.115
8,32,1,396.115
9,36,1,396.115
10,40,1,396.115
11,44,1,396.115
12,48,1,396.115
13,52,1,396.525
14,56,1,396.116
15,60,1,396.115
16,1,1,396.109
17,5,1,396.525
18,9,1,396.525
19,13,1,395.746
20,17,1,395.744
21,21,1,396.525
22,25,1,395.744
23,29,1,396.525
24,33,1,396.109
25,37,1,395.744
26,41,1,396.525
27,45,1,395.746
28,49,1,395.746
29,53,1,396.525
30,57,1,396.109
31,61,1,396.109
32,2,1,395.359
33,6,1,395.359
34,10,1,395.743
35,14,1,395.36
36,18,1,395.743
37,22,1,395.743
38,26,1,393.35
39,30,1,395.359
40,34,1,395.359
41,38,1,395.359
42,42,1,395.744
43,46,1,394.938
44,50,1,395.743
45,54,1,395.745
46,58,1,395.743
47,62,1,395.359
48,3,1,395.075
49,7,1,395.816
50,11,1,395.817
51,15,1,395.076
52,19,1,395.076
53,23,1,395.076
54,27,1,395.075
55,31,1,396.217
56,35,1,393.765
57,39,1,395.816
58,43,1,395.445
59,47,1,395.076
60,51,1,395.076
61,55,1,395.076
62,59,1,393.484
63,63,1,395.076
0,0,2,460.296
1,4,2,460.297
2,8,2,460.298
3,12,2,459.842
4,16,2,460.296
5,20,2,460.298
6,24,2,460.298
7,28,2,460.298
8,32,2,460.298
9,36,2,460.296
10,40,2,460.296
11,44,2,460.296
12,48,2,460.296
13,52,2,460.298
14,56,2,460.298
15,60,2,460.298
16,1,2,459.615
17,5,2,453.484
18,9,2,459.615
19,13,2,459.618
20,17,2,459.616
21,21,2,459.616
22,25,2,459.616
23,29,2,459.615
24,33,2,459.615
25,37,2,459.616
26,41,2,462.722
27,45,2,459.618
28,49,2,459.616
29,53,2,459.616
30,57,2,462.724
31,61,2,459.615
32,2,2,459.551
33,6,2,459.947
34,10,2,462.72
35,14,2,462.718
36,18,2,459.622
37,22,2,459.34
38,26,2,462.718
39,30,2,462.728
40,34,2,460.057
41,38,2,462.718
42,42,2,462.718
43,46,2,462.718
44,50,2,462.719
45,54,2,459.55
46,58,2,462.718
47,62,2,462.718
48,3,2,463.35
49,7,2,459.184
50,11,2,459.185
51,15,2,463.35
52,19,2,459.46
53,23,2,459.46
54,27,2,459.184
55,31,2,463.349
56,35,2,463.35
57,39,2,459.459
58,43,2,459.184
59,47,2,463.35
60,51,2,459.658
61,55,2,459.185
62,59,2,459.185
63,63,2,463.349
0,0,3,424.299
1,4,3,424.299
2,8,3,424.883
3,12,3,424.883
4,16,3,424.299
5,20,3,424.299
6,24,3,424.299
7,28,3,423.52
8,32,3,424.299
9,36,3,424.882
10,40,3,424.883
11,44,3,424.883
12,48,3,424.299
13,52,3,424.299
14,56,3,424.299
15,60,3,424.299
16,1,3,424.698
17,5,3,425.41
18,9,3,427.747
19,13,3,427.747
20,17,3,424.698
21,21,3,424.698
22,25,3,425.41
23,29,3,425.411
24,33,3,424.698
25,37,3,425.41
26,41,3,425.41
27,45,3,427.747
28,49,3,425.411
29,53,3,424.698
30,57,3,425.41
31,61,3,425.411
32,2,3,428.98
33,6,3,428.98
34,10,3,428.98
35,14,3,428.98
36,18,3,428.98
37,22,3,428.98
38,26,3,428.98
39,30,3,428.98
40,34,3,428.98
41,38,3,428.98
42,42,3,428.98
43,46,3,428.98
44,50,3,428.98
45,54,3,428.98
46,58,3,428.98
47,62,3,428.98
48,3,3,445.197
49,7,3,437.519
50,11,3,434.916
51,15,3,433.363
52,19,3,434.916
53,23,3,441.576
54,27,3,433.416
55,31,3,434.916
56,35,3,438.448
57,39,3,437.519
58,43,3,437.519
59,47,3,438.034
60,51,3,433.363
61,55,3,441.742
62,59,3,438.032
63,63,3,433.363
