Sockets\Mem_Nodes,0,1,2,3
0,16409.425,3051.675,2622.15,3077.875
1,3102.875,16550.025,3138.0,2619.35
2,2625.025,3137.95,16401.225,3126.825
3,3083.775,2613.525,3055.65,16467.95
