processor,node,bw
0-1,1,44423.92
0-1,2,33160.4
0-1,3,34211.68
0-2,1,34606.0
0-2,2,34610.159999999996
0-2,3,35104.880000000005
0-3,1,30250.08
0-3,2,30692.640000000003
0-3,3,41779.600000000006
1-2,1,30834.240000000005
1-2,2,31297.600000000002
1-2,3,29958.240000000005
1-3,1,34291.28
1-3,2,34105.6
1-3,3,34707.520000000004
2-3,1,31043.920000000002
2-3,2,32949.68
2-3,3,33874.08
