Sockets\Mem_Nodes,0,1,2,3
0-1,8226.7,8782.55,5035.35,5032.125
0-2,8264.25,5659.4,7837.025,5675.725
0-3,8585.85,4684.2,4776.575,8298.1
1-2,4805.4,8006.075,9363.4,4842.025
1-3,5639.450000000001,6784.025,5666.849999999999,6726.775
2-3,5190.1,4965.575,7559.825,8147.575
