0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,741.912,752.614,747.236,747.236,738.797,741.883,738.82,738.753,788.379,788.374,788.377,788.411,788.403,788.399,796.083,796.085,793.805,801.687,793.769,814.068,787.26,793.923,787.259,793.804,776.453,769.965,766.812,769.926,757.951,757.953,755.106,766.813,704.654,703.885,703.854,700.672,705.616,705.559,701.247,701.246,799.089,792.499,804.208,800.618,808.513,808.512,807.125,817.135,793.234,793.234,799.671,796.157,782.297,788.571,788.563,796.456,1035.11,1035.14,1007.07,1007.07,1021.1,1021.1,1007.08,1007.08
2,868.318,868.318,853.956,865.693,889.727,853.952,865.69,868.283,963.056,963.056,994.123,994.123,909.294,898.035,898.037,909.3,845.471,836.629,840.297,830.175,836.623,845.461,845.455,830.112,891.98,886.888,876.653,899.396,873.297,882.111,876.648,911.334,854.995,845.396,853.755,830.663,837.197,836.619,836.601,842.317,801.968,795.743,795.707,795.778,801.909,795.698,808.011,808.011,844.042,850.209,839.638,844.91,852.194,846.347,836.857,844.059,833.409,833.411,824.985,824.985,831.164,831.24,824.969,825.046
3,823.969,832.984,853.924,866.402,823.977,832.985,842.62,842.62,818.577,815.877,814.176,826.529,822.124,821.03,822.113,842.581,866.562,856.706,861.797,884.76,876.37,876.363,861.805,907.144,812.537,814.525,814.373,822.527,808.08,814.471,808.076,812.529,825.601,831.376,825.653,818.179,816.063,818.155,823.838,816.055,810.633,823.357,811.746,811.75,805.211,807.982,805.743,805.749,856.62,867.843,840.824,851.073,835.35,835.362,835.365,845.677,803.613,806.308,806.277,803.617,809.638,809.725,806.312,803.654
4,1124.49,1140.92,1121.91,1121.91,1124.48,1124.48,1121.88,1122.07,713.3,713.298,713.299,713.302,720.799,720.804,727.905,727.905,871.899,871.899,859.313,859.313,854.991,875.924,854.992,859.292,592.88,594.206,594.808,594.86,594.832,592.875,594.229,594.229,712.342,712.345,712.333,712.352,712.331,720.403,712.344,712.436,560.822,561.536,561.523,561.566,560.883,560.817,560.767,561.493,796.905,796.985,796.949,797.045,797.003,796.995,800.06,800.068,544.533,544.536,544.634,544.666,544.531,544.56,544.625,544.661
5,890.561,907.735,897.939,897.939,898.178,890.565,907.339,897.738,899.753,891.88,901.844,901.84,899.755,891.875,901.742,908.087,909.594,921.96,905.591,905.575,896.81,899.583,899.596,894.397,906.68,909.126,906.683,917.807,917.825,909.124,917.829,917.801,889.564,882.134,882.156,882.159,884.178,889.429,882.147,882.156,898.954,894.847,900.435,894.553,894.763,894.842,893.281,894.493,909.669,898.716,909.522,898.712,903.001,912.918,909.52,909.53,922.735,922.746,928.415,936.037,916.04,928.432,910.748,916.087
