0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,738.659,737.434,759.903,738.659,744.331,742.207,738.652,740.343,738.589,738.589,739.056,739.056,738.587,740.286,738.588,742.177,746.56,738.383,739.371,738.031,741.396,739.371,739.37,739.372,739.578,741.6,738.383,739.578,739.577,738.134,738.384,748.247,739.185,739.185,739.185,740.661,740.978,745.055,740.977,739.185,732.64,732.64,733.94,733.941,732.64,732.64,732.632,733.95
2,987.797,991.445,991.436,1006.51,984.081,984.081,984.08,987.798,845.439,845.439,847.495,847.497,849.767,859.098,852.056,847.495,932.002,960.159,932.001,941.94,947.924,938.767,938.766,938.766,796.289,794.443,798.024,798.024,796.289,796.289,796.289,794.444,947.913,951.186,951.186,958.259,947.927,947.941,947.926,947.913,805.047,805.048,802.938,805.048,805.051,805.048,802.938,805.054
3,929.728,920.005,910.396,913.712,910.396,916.543,945.171,958.998,867.511,869.945,865.014,867.513,867.519,867.511,865.014,879.913,884.525,884.525,952.997,937.693,882.306,882.592,887.215,879.909,811.525,811.525,811.523,815.263,811.53,811.53,811.529,813.405,892.988,892.988,898.541,895.78,895.774,895.774,890.625,892.989,801.145,806.122,801.145,801.145,802.763,804.413,802.776,802.775
4,839.619,822.256,821.796,847.262,820.314,822.256,824.3,819.656,821.78,821.78,828.98,833.767,824.301,821.747,821.755,821.791,827.586,834.675,825.753,838.145,828.965,826.806,836.929,852.991,811.329,811.329,811.057,811.62,811.33,813.456,811.621,811.331,847.486,847.486,813.977,817.379,813.976,819.629,871.638,877.974,806.394,804.633,804.621,804.633,804.619,807.425,809.563,804.624
5,828.685,832.305,829.428,828.678,829.63,832.123,826.78,829.649,841.034,837.625,841.034,834.771,834.773,838.026,841.034,837.624,845.369,843.731,859.422,862.6,846.017,843.734,856.831,872.497,832.005,831.626,855.875,861.935,831.008,831.626,831.008,831.625,826.633,829.207,826.309,826.632,826.631,825.288,826.628,834.144,821.908,821.91,818.83,820.333,820.32,820.32,818.829,821.924
