0,1,2,3,4,5,6,7
1,790.434,791.934,790.399,790.399,790.433,789.016,789.017,791.914
2,822.204,808.607,813.654,810.558,833.584,872.322,833.573,839.416
3,811.677,816.559,811.678,809.736,813.903,813.903,811.666,813.904
4,890.096,897.504,874.174,858.044,857.802,868.156,857.801,865.406
5,818.907,816.203,810.222,813.68,810.22,811.075,811.074,811.073
