size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.5,859.8396,868.75,858.3807999999999,860.6954000000002,857.1870000000001,861.3168,853.0696,855.9316000000001,905.7556000000001,904.0725999999999,912.0382,914.3386,917.4864000000001,916.7494,922.2028,912.494,830.2,836.3356,833.2398000000001,838.9183999999999,830.3119999999999,828.3549999999999,836.8428,839.131,853.2029999999999,853.3474,883.1884,883.9331999999998,863.7083999999999,861.4826,879.2645999999999,899.4468,829.7515999999999,829.317,836.2138000000001,832.3353999999999,837.6254000000001,831.5924000000001,829.4986000000001,829.1508,789.2786,790.3181999999999,788.5654,786.7438,789.1652,790.5622000000001,787.4902,789.1536
1,734.9628,733.0486000000001,730.1152000000001,729.6593999999999,730.7304,732.7832000000001,730.2120000000001,729.2909999999999,723.72,724.3972000000001,727.0826,726.9018,725.0098,723.9595999999999,722.5186,724.3932000000001,748.5912000000001,755.3522,739.5106,741.7538,740.1025999999999,748.5717999999999,735.3192000000001,736.5966000000001,732.6210000000001,734.2206,732.8864000000001,735.1934,749.8904,741.3851999999999,744.1446,738.4482,804.9902,809.1321999999999,814.8974000000001,808.836,817.0106,815.8904,811.034,816.8514,719.4854,718.7398000000001,715.4822,716.9326000000001,718.9763999999999,721.3724000000001,721.807,722.8614
2,864.8975999999999,860.6890000000001,862.5917999999999,866.9642,857.7503999999999,859.4420000000002,863.7966,867.2887999999999,822.8705999999999,822.6755999999999,824.3158,824.5207999999999,822.9893999999998,825.3335999999999,823.6894,825.8,847.2083999999999,852.2946,861.9087999999999,863.6818,849.3216,846.2540000000001,851.8222,856.707,798.1451999999999,798.1046,802.9724,805.2839999999999,797.9467999999999,798.207,797.7662,799.8104,850.841,852.0104000000001,845.8396,847.7421999999999,845.0572,846.7374,855.5588,858.441,793.4268,794.0706,792.2948,793.02,793.0786,793.9692,793.3476,793.6654
5,810.7588,811.398,810.1966,809.6702,810.2446,809.124,809.9208,810.3442000000001,824.891,824.588,825.6220000000001,826.0229999999999,824.5002000000001,848.0988000000001,829.9078,829.0003999999999,825.7603999999999,865.8236,826.1986,839.5078,863.9388000000001,821.4954,839.6555999999998,822.2256,823.6324000000001,823.1227999999999,811.9970000000001,823.9738,821.7544,819.8528,812.926,815.4594,809.726,809.5396000000001,810.2414000000001,813.9942,808.8380000000001,809.5516,828.443,810.5686,810.4234,810.4875999999999,808.8032,807.8266,808.4302,808.2474,807.3162000000001,810.5326
