size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.5,850.2622000000001,854.8860000000001,835.6210000000001,835.918,852.5376,850.4036,840.7298000000001,842.4606,890.018,893.6768,876.3524,877.05,875.3928,874.4426,883.9817999999999,884.8512000000001
1,781.9384,786.4631999999999,777.2513999999999,777.2612000000001,773.478,773.0016,773.7048,775.7610000000001,740.3183999999999,739.4608000000001,739.8489999999999,740.0572,739.2974,742.822,740.2824,740.867
2,777.8019999999999,780.856,782.8366,784.7511999999999,777.3324,777.1618000000001,782.5522,781.5391999999999,795.7119999999999,795.9498000000001,795.0776000000001,796.6018,796.7976,797.9089999999999,798.0544,796.176
5,744.5286,747.0998,747.4136,747.708,744.531,744.8572,744.7962,747.2968000000001,808.9236000000001,810.1552,811.0050000000001,811.4372000000001,808.1569999999999,807.89,809.3778,807.6108
