size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.5,863.7701999999999,861.8312,857.2256000000001,856.6312,864.2836,853.5278000000001,861.6777999999998,859.3710000000001,886.0684000000001,878.7520000000001,876.3621999999999,877.9878000000001,873.3912,876.324,875.375,868.8453999999999,879.6178,876.8516,879.4994,880.5818000000002,866.3046,876.0688,881.7888,874.9536,874.2636,881.6984,875.0642,874.9439999999998,862.9264,865.6007999999999,864.0976,863.2128
1,794.367,793.097,789.3781999999999,785.6542,796.0254,795.9921999999999,787.1702000000001,789.9254,795.0139999999999,796.1818000000001,800.289,801.3581999999999,798.3208,798.384,803.0652,804.8570000000002,807.6438,804.4456,807.8992000000001,809.8578,799.5606,816.8698,801.251,805.8029999999999,784.1074000000001,787.1102000000001,787.835,784.7733999999999,784.5971999999999,788.836,788.018,792.4516
2,793.632,796.7196000000001,795.7392,797.2962,793.9452,799.0935999999999,795.1816000000001,798.1744000000001,819.0247999999999,818.6142,812.9832,813.0323999999998,819.3389999999999,824.0252,812.664,811.868,865.9774,876.3912,872.3952000000002,869.7204000000002,874.6690000000001,862.1665999999999,866.0272000000001,864.5852000000001,819.5336,818.2819999999999,817.3747999999999,824.4054,820.6755999999999,821.8732,834.5283999999999,821.2964
5,741.7389999999999,744.1832,739.9494,740.1602,739.3412,739.6402,739.7834,739.5956,742.0719999999999,741.9306,742.6926,741.7933999999999,748.6600000000001,752.0974,746.7502,747.2648,888.1652000000001,841.191,845.8588,882.3327999999999,854.9423999999999,854.5072,852.9243999999999,853.8578000000001,785.2704000000001,798.1568,786.0324,791.4248,804.2032,807.3664000000001,787.5606,786.1468
