0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,856.421,859.568,855.006,864.695,864.802,855.743,865.355,864.686,1013.54,1013.68,954.844,967.46,955.005,955.005,987.862,987.871
2,822.102,837.191,822.103,822.103,840.426,831.992,844.742,844.742,835.168,835.079,830.954,827.797,827.794,830.925,844.647,834.951
3,857.87,868,851.111,851.118,844.84,851.733,851.854,844.837,853.165,863.297,862.797,862.799,853.107,859.087,851.634,853.145
4,784.588,779.341,776.803,776.803,776.86,776.79,776.731,776.735,816.429,824.54,831.618,823.801,828.649,823.804,816.596,816.5
5,930.33,930.33,873.082,864.871,935.76,935.76,864.967,881.303,931.788,931.788,901.549,903.393,912.409,903.392,919.17,931.789
