size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.5,889.85,900.5142,894.993,899.836,895.0318,888.7729999999999,895.2698,893.8928,836.6129999999999,834.497,842.3637999999999,844.841,828.075,824.0286,829.176,836.7916000000001,857.4661999999998,857.7761999999999,852.1533999999999,858.7782,850.4108,858.2508000000001,849.8214,856.9498,796.106,794.9420000000001,791.8658,800.9032000000001,790.3969999999999,791.3068,790.3776,800.5411999999999,797.4312,795.0272000000001,795.5501999999999,788.8050000000001,791.077,794.033,791.2354,790.842,774.2932000000001,773.5964,774.7238,772.8530000000001,774.2557999999999,773.5702,774.9853999999999,777.3761999999999,840.0939999999998,841.3974000000001,837.3208000000001,837.5794,833.969,836.0386000000001,834.073,839.158,827.8799999999999,828.4282000000001,822.2761999999999,823.275,824.4946,827.0114,818.7468,819.3056
1,761.8136,762.0508,762.6762,761.3072,764.3167999999998,765.4322,759.2167999999999,762.7706000000001,777.3052,768.8534,769.8542,773.1246,768.3131999999999,770.8884,768.2185999999999,769.4775999999999,783.703,788.8804,796.1222,792.4912,784.5519999999999,790.5708,784.5278000000001,789.8358000000001,784.7084000000001,787.1263999999999,785.367,781.5542000000002,780.8931999999999,778.3362,783.7479999999999,781.9348,820.8036,815.9336000000001,821.2804,816.3304,808.521,816.3076000000001,810.2654,815.6,765.1734,765.2524,766.662,764.7678000000001,762.0138,763.476,767.2736,767.068,807.5756,806.8340000000001,806.6192,803.4546,802.6629999999999,806.8354,802.3892000000001,802.2982,759.2058000000001,758.4556,759.9639999999999,761.5018,758.7056,760.2588,762.6446,763.2843999999999
2,793.062,793.067,796.4678000000001,793.2758000000001,794.641,792.8008000000001,792.5483999999999,793.5812,683.0856,686.7701999999999,682.6075999999999,684.7778000000001,683.7185999999999,683.5874,683.1226,682.6014000000001,735.6841999999999,736.4368,730.352,729.3509999999999,738.2680000000001,734.5101999999999,729.4295999999999,730.5631999999999,730.1928,735.479,735.2066,730.7974,731.8376000000001,732.6118,728.9066,729.8449999999999,692.5224000000001,693.439,689.3352,692.0948,692.6200000000001,689.6472,690.0114000000001,690.469,683.4196,683.3588,683.9842,686.8118000000001,682.1184,683.9125999999999,682.265,690.7032,670.706,671.2398,672.5458000000001,671.0654000000002,674.2334000000001,681.6066000000001,672.7364,673.5806,564.0544,562.832,562.6422,563.0840000000001,562.8332,562.6424,562.832,562.6382
5,802.9374,809.3707999999999,809.4413999999999,812.5377999999998,806.7484000000001,805.7334000000001,806.6310000000001,814.4438,870.2474,869.3040000000001,857.5201999999999,857.5612000000001,861.4202000000001,860.4176,857.656,856.9583999999999,831.3246000000001,835.5741999999998,876.1650000000002,852.8434,855.2646000000001,867.7918,841.0802,840.7742000000001,817.0348,820.8434,824.7698,822.8100000000001,809.8219999999999,808.9944000000002,815.658,816.5028,812.2578,814.961,814.5375999999999,824.175,830.4116,823.7733999999998,826.626,839.5738000000001,851.1788,823.0151999999998,819.2872,825.0426,826.2765999999999,825.7482,820.3768,824.5064,818.434,817.2296,815.3483999999999,817.0876000000001,831.1276,837.1966,832.9248,832.2606,763.9293999999999,763.2628,763.5728,763.679,763.601,764.0406,763.8324,764.4766
