0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,867.805,879.909,851.243,851.24,832.369,826.671,826.667,836.958,800.594,796.308,798.956,799.642,795.434,808.503,803.908,803.908
2,752.941,751.57,752.933,752.935,752.933,756.273,752.94,752.937,754.03,754.03,750.446,750.446,751.189,751.189,750.446,753.453
3,411.347,411.345,411.352,411.345,411.353,411.347,411.349,411.345,474.536,474.536,474.536,474.536,474.536,474.536,474.536,474.536
4,1007.52,1007.48,1007.47,1007.53,1007.47,1007.46,1007.49,1007.49,837.883,837.885,837.883,837.883,837.905,837.907,837.974,837.888
5,870.079,882.012,863.259,863.256,863.265,863.257,870.078,870.075,834.549,834.545,837.424,837.779,837.423,841.975,834.548,834.55
