0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,910.274,910.274,892.026,892.025,892.018,877.628,882.067,877.639,885.23,891.995,891.994,885.23,882.083,892.004,891.997,873.816,890.236,890.237,951.457,913.065,889.138,920.093,897.538,889.024,877.546,875.422,884.654,887.747,884.558,877.548,875.385,875.477
2,876.741,871.061,871.08,871.076,879.542,867.827,888.477,876.73,944.295,928.441,931.17,945.23,908.495,919.566,919.645,928.441,901.784,889.649,879.275,881.083,888.299,879.277,895.065,895.061,909.121,939.868,912.889,908.149,878.81,908.226,878.82,898.106
3,857.296,857.29,857.027,854.06,850.84,854.72,864.968,854.056,861.025,866.947,864.522,864.522,861.027,853.435,862.265,853.425,878.198,876.51,868.779,878.197,867.321,876.571,876.565,876.578,883.119,905.028,896.796,896.793,874.138,863.971,888.242,863.971
4,885.591,881.588,872.343,872.343,910.009,878.352,878.374,893.927,907.985,884.219,871.965,878.373,894.459,894.456,878.432,871.972,894.041,894.037,883.715,907.063,872.5,880.775,905.927,864.011,894.444,873.836,868.378,862.955,871.165,871.17,865.944,865.947
5,788.949,788.943,793.652,793.652,789.009,789.112,794.503,794.503,831.807,822.158,822.16,816.584,820.892,822.159,824.536,816.573,833.83,833.825,814.271,823.501,814.265,823.628,833.849,850.094,807.088,814.338,812.604,819.076,805.961,807.089,812.097,812.563
