0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,776.711,777.732,795.05,791.057,780.385,779.51,776.711,776.711,938.216,938.213,936.499,938.215,945.505,945.505,936.498,936.499,773.012,773.012,776.507,771.716,771.717,839.273,774.38,776.507,776.895,782.115,778.865,776.894,790.428,790.428,854.918,860.098,865.638,865.638,863.961,869.4,863.961,863.962,868.181,870.945,847.366,845.34,838.315,867.407,850.463,850.463,842.746,860.319,795.049,792.853,785.919,785.919,787.876,785.92,785.92,785.92,773.16,773.16,773.876,773.165,774.582,773.862,772.501,774.587
2,926.169,932.904,926.168,946.812,929.673,927.961,940.932,936.355,847.478,844.023,844.025,844.023,846.271,845.138,848.704,844.025,924.432,930.142,1045.53,924.431,936.431,924.432,958.201,958.201,838.205,838.527,839.423,840.5,844.413,839.423,840.496,838.22,840.498,856.603,845.707,850.501,844.686,843.355,841.402,845.706,835.475,836.347,825.797,824.992,826.611,826.61,824.993,824.993,939.309,935.484,935.518,942.298,940.673,940.673,952.363,950.562,780.152,780.152,780.157,780.87,780.157,780.878,780.884,780.876
3,743.681,767.321,756.488,757.389,753.922,752.215,744.372,788.024,825.012,827.7,766.061,766.061,770.156,767.475,764.984,764.984,757.075,765.809,839.611,843.811,860.19,848.307,764.877,757.877,742.502,754.519,757.877,748.137,775.222,775.222,742.917,745.6,688.903,689.045,688.517,732.597,688.905,688.905,688.906,750.633,688.122,688.785,691.907,691.103,688.785,688.786,689.539,688.123,783.748,782.995,782.718,783.956,853.064,884.581,853.067,851.547,688.316,688.193,688.316,688.837,687.759,688.193,687.759,688.193
4,753.984,753.984,755.359,753.289,753.289,753.289,754.664,754.665,905.461,905.461,908.384,908.384,911.339,911.339,905.462,905.462,878.94,878.941,884.822,879.939,884.821,895.131,882.452,884.823,906.738,908.221,927.761,923.866,819.124,816.577,819.124,816.576,839.688,837.36,839.689,837.359,896.051,896.051,908.079,902.575,1051.25,906.74,906.74,906.74,906.74,905.462,906.741,908.217,756.233,756.986,755.555,756.233,756.985,756.985,756.234,756.234,753.689,753.689,754.393,754.401,754.386,755.109,753.688,754.397
5,814.142,814.913,814.142,814.142,816.473,815.692,816.476,816.464,835.07,831.123,832.632,831.123,833.83,832.631,832.632,833.822,823.164,829.967,834.355,844.32,823.164,831.816,825.491,826.463,820.834,820.835,819.923,824.653,819.923,823.322,820.835,822.02,826.562,826.159,834.814,831.018,858.455,826.594,826.562,828.01,833.681,837.864,833.677,834.971,858.784,857.42,837.865,840.88,817.831,817.83,817.032,817.032,817.04,817.824,817.04,817.04,824.33,821.12,821.122,821.122,821.121,822.161,824.33,824.33
