0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,947.316,947.342,947.317,947.304,947.303,947.302,938.807,947.313,495.413,495.413,495.413,495.414,495.413,495.413,495.413,495.413,582.476,582.477,582.476,582.476,582.476,582.475,582.472,582.477,394.615,394.615,394.614,394.614,394.614,394.614,394.614,394.615,488.142,488.142,488.145,488.145,488.142,488.142,488.142,488.142,369.575,369.575,369.576,369.575,369.575,369.575,369.575,369.575,588.81,588.816,588.813,588.82,588.811,588.811,588.81,588.811,363.416,363.416,363.416,363.416,363.416,363.416,363.416,363.416
2,718.417,718.417,718.418,717.131,715.59,717.138,718.416,715.591,823.254,828.168,820.938,823.259,820.935,823.255,820.937,820.936,822.914,827.918,806.152,808.418,825.56,822.914,808.417,806.152,890.946,918.313,896.767,890.942,894.046,894.048,885.44,888.259,836.116,838.347,826.495,836.118,842.921,826.076,827.907,832.173,881.975,881.975,885.443,899.58,881.969,890.93,881.97,924.879,724.105,724.106,724.105,724.105,724.105,725.649,724.106,724.105,708.297,707.041,707.045,708.299,707.044,707.046,707.04,707.04
3,1109.45,1109.45,1109.45,1109.45,1109.45,1109.44,1109.03,1109.44,754.949,756.832,754.957,754.958,754.953,754.958,754.949,754.955,861.131,853.631,849.004,848.543,851.407,849.007,848.542,853.631,638.137,638.137,638.137,638.137,638.137,638.136,638.136,638.137,806.63,808.982,806.629,806.642,806.635,806.637,806.631,806.629,610.573,610.572,610.577,610.578,610.573,610.572,610.576,610.577,839.309,839.309,844.255,839.311,839.31,841.729,841.731,841.731,563.402,563.403,563.403,563.403,563.406,563.403,563.403,563.406
4,822.789,822.788,839.817,825.156,833.524,822.786,829.152,828.225,835.841,847.47,835.758,844.289,841.321,838.343,838.345,835.731,820.548,826.806,822.778,815.968,840.546,826.805,816.366,819.204,816.051,815.115,835.296,819.075,821.165,825.044,815.114,816.987,822.684,822.684,816.365,820.529,816.361,818.336,818.336,816.361,819.082,818.771,818.431,818.433,812.581,812.591,813.307,812.588,830.699,833.359,834.95,832.481,848.333,881.236,838.426,842.65,814.26,809.403,808.451,809.406,809.403,808.45,809.404,808.432
5,367.338,367.338,367.337,367.338,367.338,367.338,367.337,367.337,505.971,505.968,505.972,505.969,505.971,505.968,505.969,505.972,591.352,591.352,591.35,591.35,591.351,591.35,591.351,591.352,911.215,911.215,911.219,911.219,911.226,911.217,911.229,911.227,509.04,509.04,509.042,509.04,509.041,509.045,509.041,509.04,735.893,735.901,735.894,735.893,735.894,735.895,735.897,735.897,370.607,370.609,370.606,370.61,370.608,370.608,370.609,370.606,370.897,370.897,370.896,370.896,370.897,370.897,370.897,370.897
