size,0,1,2,3,4,5,6,7
0.5,889.787,886.617,878.1086000000001,879.1064,877.6254000000001,880.6220000000001,878.2374,875.4186
1,779.1384,778.1528000000001,769.2554,770.3226,774.1764000000001,775.3528,770.5024000000001,772.1128000000001
2,826.6636000000001,826.1614,820.0253999999999,816.4834,821.1884,830.8943999999999,820.6261999999999,824.3426
5,620.8949999999999,621.5998,621.526,622.7836,621.5002000000001,625.9366000000001,623.0424,636.2927999999999
