migrations;7;15;33;47;63;7;;7.00;2.14;4.71;6.71;9.00;;;;;migrations;7.00;2.14;4.71;6.71;9.00
time;12.3390982;8.888548452;7.730572461;7.409186602;7.457476822;7.409186602;;1.67;1.20;1.04;7.41;1.01;;;;;time;1.67;1.20;1.04;7.41;1.01
;5;5;5;5;5;5;;5.00;5.00;5.00;5.00;5.00;;;;;;5;5;5;5;5
copy;31117.3;56130.6;74457.5;76380.8;78741.1;31117.3;;31117.30;1.80;2.39;2.45;2.53;;;;;copy;31117.30;1.80;2.39;2.45;2.53
scale;30812;56130.2;75991.3;75977.6;78498;30812;;30812.00;1.82;2.47;2.47;2.55;;;;;scale;30812.00;1.82;2.47;2.47;2.55
add;26063.2;47277;68805.7;78820.5;83791.6;26063.2;;26063.20;1.81;2.64;3.02;3.21;;;;;add;26063.20;1.81;2.64;3.02;3.21
triad;27250.3;49372.6;68138.8;78011.8;83614.1;27250.3;;27250.30;1.81;2.50;2.86;3.07;;;;;triad;27250.30;1.81;2.50;2.86;3.07
cycles;3.5707E+11;4.01419E+11;5.92117E+11;7.95882E+11;1.01091E+12;3.5707E+11;;357070030356.00;1.12;1.66;2.23;2.83;;;;;cycles;357070030356.00;1.12;1.66;2.23;2.83
instructions;1.65935E+11;1.67971E+11;1.72475E+11;1.79747E+11;1.786E+11;1.65935E+11;;165934859444.00;1.01;1.04;1.08;1.08;;;;;instructions;165934859444.00;1.01;1.04;1.08;1.08
cache-misses;39750840;43438358;55443435;52007060;61184969;39750840;;39750840.00;1.09;1.39;1.31;1.54;;;;;cache-misses;39750840.00;1.09;1.39;1.31;1.54
cache-references;71507122709;71313837886;70592140594;68038390278;64883776963;64883776963;;1.10;1.10;1.09;1.05;64883776963.00;;;;;cache-references;1.10;1.10;1.09;1.05;64883776963.00
faults;6716;6733;6767;6801;6837;6716;;6716.00;1.00;1.01;1.01;1.02;;;;;faults;6716.00;1.00;1.01;1.01;1.02
migrations;7;16;31;48;64;7;;7.00;2.29;4.43;6.86;9.14;;;;;migrations;7.00;2.29;4.43;6.86;9.14
time;24.93808159;17.56129448;15.64041183;15.16685108;14.83130205;14.83130205;;1.68;1.18;1.05;1.02;14.83;;;;;time;1.68;1.18;1.05;1.02;14.83
;10;10;10;10;10;10;;10.00;10.00;10.00;10.00;10.00;;;;;;10;10;10;10;10
copy;30978.6;50770.3;72921.3;76400.7;80214.6;30978.6;;30978.60;1.64;2.35;2.47;2.59;;;;;copy;30978.60;1.64;2.35;2.47;2.59
scale;29428.4;50380.2;72156;76580.7;80103.6;29428.4;;29428.40;1.71;2.45;2.60;2.72;;;;;scale;29428.40;1.71;2.45;2.60;2.72
add;24771.9;45612.7;66809.4;79127.1;85744.2;24771.9;;24771.90;1.84;2.70;3.19;3.46;;;;;add;24771.90;1.84;2.70;3.19;3.46
