faults;2216;2233;2267;2301;2337;2216;;2216;1.01;1.02;1.04;1.05;;;;;faults;2216;1.00767148;1.02301444;1.038357401;1.054602888;;;faults;2216;2233;2267;2301;2337;2216;;;;;;
migrations;7;15;31;47;63;7;;7;2.14;4.43;6.71;9;;;;;migrations;7;2.142857143;4.428571429;6.714285714;9;;;migrations;7;15;31;47;63;7;;;;;;
time;6.291094218;4.561003654;3.954413416;3.788293807;3.84906334;3.788293807;;1.66;1.2;1.04;3.79;1.02;;;;;time;1.660666923;1.203973051;1.043850772;3.788293807;1.016041399;;;time;6.291094218;4.561003654;3.954413416;3.788293807;3.84906334;3.788293807;;;;;;
;2;2;2;2;2;2;;2;2;2;2;2;;;;;;2;2;2;2;2;;;;2;2;2;2;2;2;;;;;;
copy;31134.8;55137.4;71841.2;75455;74860.7;31134.8;;31134.8;1.77;2.31;2.42;2.4;;;;;copy;31134.8;1.770925138;2.30742449;2.423493968;2.404406002;;;copy;31134.8;55137.4;71841.2;75455;74860.7;31134.8;;;;;;
scale;30650.3;55075.1;73158.1;74998.6;74375.2;30650.3;;30650.3;1.8;2.39;2.45;2.43;;;;;scale;30650.3;1.796886164;2.386864076;2.446912428;2.426573312;;;scale;30650.3;55075.1;73158.1;74998.6;74375.2;30650.3;;;;;;
add;26026.7;46818.8;66722.3;78011.1;78570.7;26026.7;;26026.7;1.8;2.56;3;3.02;;;;;add;26026.7;1.79887577;2.563609678;2.997348876;3.018849873;;;add;26026.7;46818.8;66722.3;78011.1;78570.7;26026.7;;;;;;
triad;27199.3;48647.3;67151.9;77411.5;78859;27199.3;;27199.3;1.79;2.47;2.85;2.9;;;;;triad;27199.3;1.788549705;2.46888339;2.846084274;2.899302556;;;triad;27199.3;48647.3;67151.9;77411.5;78859;27199.3;;;;;;
cycles;1.82E+11;2.10E+11;3.14E+11;4.25E+11;5.61E+11;1.82E+11;;1.8174E+11;1.15;1.73;2.34;3.09;;;;;cycles;1.82E+11;1.154769902;1.727425176;2.337639012;3.08936381;;;cycles;1.82E+11;2.10E+11;3.14E+11;4.25E+11;5.61E+11;1.82E+11;;;;;;
instructions;83509264101;84961001496;88740825045;93538596381;95611048184;83509264101;;83509264101;1.02;1.06;1.12;1.14;;;;;instructions;83509264101;1.017384148;1.062646474;1.120098439;1.144915468;;;instructions;83509264101;84961001496;88740825045;93538596381;95611048184;83509264101;;;;;;
cache-misses;19842399;21942158;28221831;26422279;31394628;19842399;;19842399;1.11;1.42;1.33;1.58;;;;;cache-misses;19842399;1.105821831;1.42229934;1.33160708;1.582199209;;;cache-misses;19842399;21942158;28221831;26422279;31394628;19842399;;;;;;
cache-references;35933767586;35896294184;35996322788;35043306355;34188085454;34188085454;;1.05;1.05;1.05;1.03;34188085454;;;;;cache-references;1.051061126;1.04996503;1.052890863;1.025015174;34188085454;;;cache-references;35933767586;35896294184;35996322788;35043306355;34188085454;34188085454;;;;;;
faults;3716;3733;3767;3802;3836;3716;;3716;1;1.01;1.02;1.03;;;;;faults;3716;1.004574812;1.013724435;1.023143165;1.032292788;;;faults;3716;3733;3767;3802;3836;3716;;;;;;
migrations;7;15;33;47;63;7;;7;2.14;4.71;6.71;9;;;;;migrations;7;2.142857143;4.714285714;6.714285714;9;;;migrations;7;15;33;47;63;7;;;;;;
