Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1,8538.46666667,9286.73333333,4130.13333333,4117.1,5923.03333333,3875.46666667,2427.63333333,2437.76666667
0-2,7292.36666667,5396.0,8491.93333333,5217.8,6038.33333333,6043.9,4747.36666667,4224.46666667
0-3,7910.43333333,6093.43333333,8122.13333333,8413.16666667,6014.46666667,5301.96666667,4490.46666667,4076.13333333
0-4,6841.8,6948.93333333,6281.83333333,5848.0,5984.23333333,4527.83333333,5165.66666667,3987.26666667
0-5,6556.36666667,4700.13333333,6442.23333333,6285.8,6058.7,6886.2,6211.66666667,3630.56666667
0-6,8721.06666667,5591.73333333,6108.93333333,5578.73333333,5163.46666667,4155.6,6796.73333333,4400.8
0-7,7587.4,7017.03333333,8185.5,5611.53333333,3640.93333333,4970.0,6210.5,4827.46666667
1-2,6051.2,4810.33333333,8260.46666667,7627.3,6013.66666667,6025.0,3594.23333333,4682.03333333
1-3,4640.83333333,6866.76666667,5206.23333333,7384.83333333,6058.46666667,5145.16666667,3423.8,3535.1
1-4,6812.8,7148.66666667,6021.53333333,6178.9,6315.96666667,4466.13333333,3743.76666667,3440.7
1-5,5367.43333333,6060.0,7621.13333333,5087.4,6871.1,6854.23333333,4260.0,5976.0
1-6,7325.93333333,5580.86666667,5936.7,5322.5,5153.33333333,4187.4,5589.06666667,7002.56666667
1-7,5305.5,6697.16666667,6009.06666667,6174.16666667,3665.23333333,5135.26666667,4084.3,6560.4
2-3,2371.9,2403.2,8482.06666667,9286.1,6073.26666667,7005.93333333,2422.5,2437.83333333
2-4,4871.63333333,3578.36666667,8159.6,7090.66666667,6225.83333333,8607.0,6175.63333333,4129.3
2-5,4356.9,3390.63333333,8234.36666667,6254.03333333,6986.1,9537.23333333,5964.76666667,4667.26666667
2-6,4926.1,3813.7,6904.33333333,5031.2,5119.4,4169.0,6926.36666667,6178.23333333
2-7,6043.4,3465.46666667,8529.03333333,5187.9,3468.0,6810.56666667,6856.56666667,6984.66666667
3-4,3603.06666667,5096.73333333,6989.13333333,6596.56666667,6135.96666667,8451.86666667,4146.16666667,4071.16666667
3-5,3335.76666667,4619.5,8610.96666667,7045.4,6912.63333333,7863.2,4706.83333333,3559.86666667
3-6,3714.6,4214.66666667,6882.96666667,8013.96666667,5136.16666667,3704.53333333,5027.03333333,4121.33333333
3-7,4020.86666667,5141.13333333,7328.7,9624.23333333,3584.83333333,6063.43333333,4695.3,4701.1
4-5,2384.1,2393.06666667,6363.56666667,5188.26666667,8477.23333333,9279.23333333,4128.83333333,2396.13333333
4-6,6052.76666667,3656.36666667,6042.33333333,5061.03333333,6157.13333333,4151.16666667,8739.83333333,4518.13333333
4-7,5975.33333333,6005.76666667,6267.23333333,6372.96666667,4824.9,6055.4,8048.06666667,5265.1
5-6,4112.5,3567.46666667,5650.56666667,6003.73333333,6111.76666667,5508.03333333,8135.26666667,6004.16666667
5-7,4654.43333333,4093.8,6433.8,6230.5,4330.6,7075.3,5155.43333333,6209.53333333
6-7,4155.2,2430.76666667,6099.06666667,3970.13333333,2394.3,2415.5,8543.96666667,9283.9
