socket,node,bw
0,0,18891.135000000002
0,1,10246.005000000001
0,2,8021.339999999999
0,3,7015.1849999999995
0,4,5519.115000000001
0,5,5434.74
0,6,5582.7
0,7,3824.3699999999994
1,0,10238.804999999998
1,1,19803.915
1,2,7024.275000000001
1,3,8007.84
1,4,5474.339999999999
1,5,5400.2699999999995
1,6,3820.9050000000007
1,7,5577.75
2,0,5518.215
2,1,3767.13
2,2,19562.625
2,3,10214.955000000002
2,4,5670.27
2,5,8160.5700000000015
2,6,5522.9400000000005
2,7,5525.504999999999
3,0,3770.82
3,1,5529.96
3,2,10270.304999999998
3,3,19496.835000000003
3,4,5571.855
3,5,8105.130000000001
3,6,3740.0849999999996
3,7,3715.2000000000003
4,0,5524.155
4,1,5519.97
4,2,5680.9349999999995
4,3,5584.905
4,4,19692.855
4,5,10194.435
4,6,8051.8949999999995
4,7,3775.005
5,0,3684.4199999999996
5,1,3738.42
5,2,8158.275000000001
5,3,5686.875
5,4,10225.395
5,5,19421.864999999998
5,6,7032.96
5,7,5474.7
6,0,8067.510000000001
6,1,3824.505
6,2,5566.05
6,3,5481.044999999999
6,4,5527.71
6,5,3773.88
6,6,18985.41
6,7,10252.71
7,0,7103.5199999999995
7,1,5578.02
7,2,8055.719999999999
7,3,6789.1050000000005
7,4,3770.775
7,5,5434.0650000000005
7,6,10238.534999999998
7,7,19368.315
