Sockets\Mem_Nodes,0,1,2,3
0,16554.7,3043.925,2623.7,3080.8
1,3105.35,16613.925,3142.275,2622.175
2,2656.875,3140.475,16577.55,3129.95
3,3087.125,2614.75,3059.9,16583.9
