Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1-2-3,5139.7,5600.1,6612.63333333,6269.63333333,7022.06666667,5675.7,2981.23333333,3489.46666667
0-1-2-4,7452.16666667,5952.8,6688.96666667,6254.13333333,7567.96666667,5482.8,4115.46666667,4376.56666667
0-1-2-5,6938.0,5650.93333333,7211.06666667,5998.86666667,7164.4,6180.66666667,4804.26666667,4778.5
0-1-2-6,7458.73333333,5751.1,6717.86666667,6113.1,6910.16666667,5379.6,4942.46666667,5035.83333333
0-1-2-7,6594.5,5752.56666667,6910.76666667,6433.26666667,5660.13333333,5631.33333333,4846.23333333,5198.0
0-1-3-4,5582.03333333,7171.33333333,6449.83333333,6752.03333333,7634.6,5478.96666667,3831.13333333,4136.93333333
0-1-3-5,4911.06666667,5975.76666667,6059.96666667,6920.66666667,7165.06666667,7040.26666667,4715.63333333,4787.73333333
0-1-3-6,5372.0,5264.23333333,6217.9,6745.3,6914.13333333,5347.83333333,4731.36666667,4634.6
0-1-3-7,6047.03333333,7290.86666667,6165.5,6538.66666667,5666.96666667,6221.53333333,4775.26666667,5147.53333333
0-1-4-5,5541.2,4790.4,6224.7,6515.63333333,7708.73333333,5547.93333333,4812.63333333,3947.1
0-1-4-6,7682.83333333,5714.46666667,6521.96666667,6228.93333333,7388.4,4985.23333333,4809.06666667,4393.76666667
0-1-4-7,6732.16666667,7600.56666667,6512.8,6223.86666667,6687.43333333,5511.73333333,5248.13333333,4922.9
0-1-5-6,6621.13333333,5962.13333333,6491.56666667,6229.6,6958.76666667,5857.23333333,5280.16666667,5322.7
0-1-5-7,6147.13333333,6325.8,6811.1,6223.9,5470.16666667,7151.83333333,4702.33333333,5184.93333333
0-1-6-7,6538.0,4911.46666667,6381.96666667,5718.46666667,4081.76666667,3697.76666667,5086.93333333,5329.6
0-2-3-4,5192.56666667,5030.36666667,7771.2,7631.03333333,7633.26666667,5481.26666667,4911.46666667,4759.23333333
0-2-3-5,4629.93333333,4552.36666667,7968.4,6676.83333333,7125.26666667,7117.73333333,4659.83333333,4753.63333333
0-2-3-6,4855.96666667,4348.5,7773.0,7217.43333333,6917.0,5592.63333333,5710.53333333,4748.4
0-2-3-7,5169.23333333,5171.03333333,8043.3,6789.0,5661.76666667,6564.36666667,5046.73333333,5190.93333333
0-2-4-5,5172.86666667,4662.06666667,7703.0,6022.2,7727.53333333,6280.3,6332.43333333,5029.66666667
0-2-4-6,7189.03333333,5331.13333333,7665.0,6309.63333333,7313.86666667,5587.43333333,7401.53333333,5524.43333333
0-2-4-7,7123.73333333,5571.16666667,7614.5,6300.56666667,6342.8,5474.03333333,7028.4,5432.1
0-2-5-6,6498.33333333,4456.6,7574.1,6140.43333333,6982.4,5964.6,7199.8,4825.1
0-2-5-7,6675.2,5409.63333333,8000.53333333,6148.5,5494.36666667,6761.46666667,6100.96666667,6391.36666667
0-2-6-7,7028.4,4630.5,7641.26666667,5449.36666667,4082.96666667,4124.46666667,7524.0,5265.16666667
0-3-4-5,4545.1,5868.3,7068.26666667,6821.56666667,7771.76666667,7225.53333333,5757.7,4953.76666667
0-3-4-6,6521.26666667,5228.63333333,6972.23333333,6860.13333333,7288.9,5646.56666667,6614.46666667,4443.9
0-3-4-7,6096.63333333,7008.6,7199.23333333,6862.1,6044.66666667,6470.93333333,6211.53333333,4891.3
0-3-5-6,6083.3,4725.73333333,7050.4,6888.06666667,6678.73333333,6574.5,6763.0,4506.23333333
0-3-5-7,5701.3,6248.43333333,7391.33333333,6901.43333333,5491.13333333,6946.06666667,5755.16666667,6602.73333333
0-3-6-7,6082.56666667,5388.4,7164.56666667,6474.73333333,4083.7,4375.4,7022.03333333,5037.7
0-4-5-6,5076.2,4849.36666667,7096.93333333,6269.43333333,7486.1,6003.9,7040.9,4689.53333333
0-4-5-7,5099.3,4777.16666667,7032.26666667,6283.66666667,5498.96666667,6549.8,6033.83333333,5027.76666667
0-4-6-7,6934.73333333,4855.0,7015.8,5752.33333333,5046.7,4629.73333333,7273.53333333,6166.86666667
0-5-6-7,6370.53333333,4920.93333333,7075.83333333,5892.36666667,5014.3,4974.3,6639.5,5999.83333333
1-2-3-4,4684.96666667,4514.33333333,6657.2,7534.46666667,7604.6,5509.63333333,3878.7,4251.9
1-2-3-5,4599.6,4207.5,6969.86666667,7542.76666667,7194.56666667,7081.76666667,4887.9,4393.23333333
