Sockets\Mem_Nodes,0,1,2,3
0-1,9625.1,11466.25,4953.475,4974.775
0-2,7918.225,5643.95,9942.3,5632.4
0-3,11834.725,4671.5,4668.825,12219.45
1-2,4797.1,11911.325,11701.1,4795.675
1-3,5604.925,9837.55,5634.55,9954.125
2-3,4967.625,4954.825,13604.55,11830.2
